x,y
4036759.50952184,3481064.7875475627
4035727.2586842435,3481742.6343320543
4038487.9298010906,3481447.0940391487
4037455.678963494,3482124.9408236397
4036423.4281258974,3482802.7876081313
4039184.0992427445,3482507.247315225
4038151.848405148,3483185.0940997163
4037119.5975675513,3483862.940884208
4040912.5195219954,3482889.553806811
4039880.268684399,3483567.400591302
4038848.0178468022,3484245.2473757933
4037815.7670092057,3484923.094160285
4041608.6889636493,3483949.707082888
4040576.4381260527,3484627.553867379
4039544.187288456,3485305.4006518703
4038511.9364508595,3485983.247436362
4043337.1092429,3484332.013574473
4042304.858405303,3485009.8603589647
4041272.6075677066,3485687.7071434557
4040240.35673011,3486365.553927947
4039208.1058925134,3487043.4007124384
4044033.278684554,3485392.16685055
4043001.0278469576,3486070.0136350417
4041968.777009361,3486747.8604195327
4040936.5261717644,3487425.707204024
4045761.6989638046,3485774.4733421355
4044729.448126208,3486452.3201266266
4043697.1972886114,3487130.166911118
4042664.946451015,3487808.0136956093
4041632.6956134182,3488485.8604801004
4046457.8684054585,3486834.6266182126
4045425.617567862,3487512.4734027036
4044393.3667302653,3488190.320187195
4043361.1158926687,3488868.1669716863
4042328.865055072,3489546.0137561774
4048186.288684709,3487216.9331097985
4047154.0378471124,3487894.7798942896
4046121.787009516,3488572.6266787807
4045089.536171919,3489250.473463272
4044057.2853343226,3489928.3202477633
4043025.034496726,3490606.1670322544
4048882.4581263633,3488277.086385875
4047850.2072887667,3488954.933170366
4046817.95645117,3489632.779954857
4045785.7056135735,3490310.6267393488
4044753.454775977,3490988.47352384
4043721.2039383803,3491666.320308331
4050610.878405614,3488659.3928774605
4049578.627568017,3489337.239661952
4048546.3767304206,3490015.086446443
4047514.125892824,3490692.933230934
4046481.8750552274,3491370.7800154258
4045449.624217631,3492048.626799917
4044417.373380034,3492726.473584408
4051307.0478472677,3489719.5461535375
4050274.797009671,3490397.392938029
4049242.5461720745,3491075.23972252
4048210.295334478,3491753.086507011
4047178.0444968813,3492430.9332915028
4046145.7936592847,3493108.780075994
4045113.542821688,3493786.626860485
4053035.4681265187,3490101.852645123
4052003.217288922,3490779.699429614
4050970.9664513255,3491457.5462141056
4049938.715613729,3492135.3929985967
4048906.4647761323,3492813.2397830877
4047874.2139385357,3493491.0865675793
4046841.963100939,3494168.9333520704
4053731.6375681725,3491162.0059212
4052699.386730576,3491839.852705691
4051667.1358929793,3492517.6994901826
4050634.8850553827,3493195.5462746737
4049602.634217786,3493873.3930591648
4048570.3833801895,3494551.2398436563
4047538.132542593,3495229.0866281474
4055460.057847423,3491544.3124127854
4054427.8070098264,3492222.1591972765
4053395.55617223,3492900.0059817676
4052363.305334633,3493577.852766259
4051331.0544970366,3494255.69955075
4050298.80365944,3494933.5463352413
4049266.5528218434,3495611.393119733
4048234.301984247,3496289.239904224
4056156.2272890774,3492604.4656888624
4055123.9764514808,3493282.3124733535
4054091.725613884,3493960.1592578446
4053059.4747762876,3494638.006042336
4052027.223938691,3495315.852826827
4050994.9731010944,3495993.6996113183
4049962.7222634978,3496671.54639581
4048930.471425901,3497349.393180301
4054787.895055538,3495020.3125339216
4053755.6442179414,3495698.159318413
4052723.393380345,3496376.006102904
4051691.1425427482,3497053.8528873953
4050658.8917051516,3497731.699671887
4049626.640867555,3498409.546456378
4052387.311984402,3498114.006163472
4051355.0611468055,3498791.8529479634
4050322.810309209,3499469.6997324545
