x,y
4033835.193823238,3483548.6566629265
4034994.9791203793,3484569.067575415
4033841.9743351433,3484576.6724804565
4032688.969549908,3484584.277385498
4036154.7644175203,3485589.4784879033
4035001.7596322848,3485597.0833929447
4033848.754847049,3485604.688297986
4032695.7500618133,3485612.2932030275
4031542.7452765773,3485619.898108069
4037314.5497146617,3486609.889400392
4036161.5449294257,3486617.4943054332
4035008.54014419,3486625.0992104746
4033855.535358954,3486632.704115516
4032702.5305737187,3486640.3090205574
4031549.5257884827,3486647.913925599
4038474.3350118026,3487630.3003128804
4037321.330226567,3487637.905217922
4036168.325441331,3487645.510122963
4035015.3206560956,3487653.1150280046
4033862.3158708597,3487660.719933046
4032709.311085624,3487668.3248380874
4038481.115523708,3488658.31613041
4037328.1107384725,3488665.9210354513
4036175.1059532366,3488673.5259404927
4035022.101168001,3488681.130845534
4033869.096382765,3488688.7357505755
4039640.9008208495,3489678.7270428985
4038487.8960356135,3489686.33194794
4037334.891250378,3489693.9368529813
4036181.886465142,3489701.5417580227
4035028.8816799065,3489709.146663064
4033875.8768946705,3489716.7515681055
4040800.686117991,3490699.1379553867
4039647.681332755,3490706.742860428
4038494.676547519,3490714.3477654695
4037341.6717622834,3490721.952670511
4036188.6669770475,3490729.5575755523
4035035.662191812,3490737.1624805937
4041960.471415132,3491719.5488678757
4040807.4666298963,3491727.1537729166
4039654.4618446603,3491734.758677958
4038501.4570594244,3491742.3635829994
4037348.452274189,3491749.968488041
4036195.447488953,3491757.5733930822
4035042.4427037174,3491765.1782981236
4041967.2519270373,3492747.564685405
4040814.2471418018,3492755.169590446
4039661.242356566,3492762.7744954876
4038508.23757133,3492770.379400529
4037355.2327860943,3492777.9843055704
4036202.2280008583,3492785.589210612
4043127.0372241787,3493767.975597894
4041974.0324389427,3493775.580502935
4040821.027653707,3493783.185407976
4039668.022868471,3493790.7903130176
4038515.0180832352,3493798.395218059
4037362.0132979997,3493806.0001231004
4044286.8225213196,3494788.386510382
4043133.817736084,3494795.9914154233
4041980.812950848,3494803.5963204647
4040827.8081656126,3494811.2012255057
4039674.8033803767,3494818.806130547
4038521.7985951407,3494826.4110355885
4037368.793809905,3494834.01594063
4045446.607818461,3495808.7974228705
4044293.603033225,3495816.402327912
4043140.5982479895,3495824.0072329533
4041987.5934627536,3495831.6121379947
4040834.588677518,3495839.2170430357
4039681.583892282,3495846.821948077
4038528.579107046,3495854.4268531185
4046606.393115602,3496829.2083353586
4045453.3883303665,3496836.8132404
4044300.3835451305,3496844.4181454415
4043147.378759895,3496852.023050483
4041994.373974659,3496859.6279555243
4040841.3691894235,3496867.232860565
4039688.3644041875,3496874.8377656066
4038535.3596189516,3496882.442670648
4046613.1736275074,3497857.2241528886
4045460.168842272,3497864.82905793
4044307.164057036,3497872.4339629714
4043154.1592718004,3497880.038868013
4042001.1544865645,3497887.6437730542
4040848.149701329,3497895.248678095
4039695.144916093,3497902.8535831366
4047772.958924649,3498877.6350653768
4046619.954139413,3498885.239970418
4045466.9493541773,3498892.8448754596
4044313.9445689414,3498900.449780501
4043160.939783706,3498908.0546855424
4042007.93499847,3498915.6595905838
4040854.9302132344,3498923.2644956247
4039701.9254279984,3498930.869400666
4048932.7442217898,3499898.0459778653
4047779.7394365543,3499905.6508829067
4046626.7346513183,3499913.255787948
4045473.729866083,3499920.8606929895
4044320.725080847,3499928.465598031
4043167.7202956113,3499936.0705030723
4042014.7155103753,3499943.6754081137
4040861.71072514,3499951.2803131547
4050092.529518931,3500918.456890354
4048939.524733695,3500926.0617953953
4047786.5199484597,3500933.6667004367
4046633.5151632237,3500941.271605478
4045480.510377988,3500948.8765105195
4044327.5055927522,3500956.481415561
4043174.5008075167,3500964.0863206023
4042021.496022281,3500971.6912256437
4048946.3052456006,3501954.077612925
4047793.300460365,3501961.6825179663
4046640.295675129,3501969.2874230077
4045487.2908898937,3501976.892328049
4044334.2861046577,3501984.4972330905
4043181.281319422,3501992.102138132
4042028.276534186,3501999.7070431733
4048953.085757506,3502982.093430455
4047800.0809722706,3502989.6983354962
4046647.0761870346,3502997.3032405376
4045494.071401799,3503004.908145579
4044341.066616563,3503012.5130506204
4043188.0618313276,3503020.117955662
4047806.861484176,3504017.7141530258
4046653.85669894,3504025.319058067
4045500.8519137045,3504032.9239631086
4044347.8471284686,3504040.52886815
4043194.842343233,3504048.1337731914
4046660.6372108455,3505053.334875597
4045507.63242561,3505060.9397806386
4044354.627640374,3505068.54468568
4045514.4129375154,3506088.955598168
4045521.193449421,3507116.971415698
