Time [UTC],u100,v100,u10,v10
2005-01-01 00:00:00,7.626,0.88,6.824,0.806
2005-01-01 01:00:00,8.762,1.774,7.727,1.6
2005-01-01 02:00:00,9.532,2.347,8.191,2.059
2005-01-01 03:00:00,9.557,2.919,8.035,2.537
2005-01-01 04:00:00,9.683,3.395,8.041,2.946
2005-01-01 05:00:00,9.461,3.792,7.818,3.302
2005-01-01 06:00:00,10.019,4.122,8.259,3.542
2005-01-01 07:00:00,10.416,4.462,8.564,3.807
2005-01-01 08:00:00,10.685,4.9,8.717,4.148
2005-01-01 09:00:00,10.096,5.956,8.285,5.06
2005-01-01 10:00:00,10.48,7.152,8.566,6.008
2005-01-01 11:00:00,9.636,8.241,7.789,6.906
2005-01-01 12:00:00,9.631,9.523,7.78,7.95
2005-01-01 13:00:00,10.062,11.08,7.461,8.553
2005-01-01 14:00:00,10.025,12.59,6.398,8.96
2005-01-01 15:00:00,9.424,13.565,6.948,10.49
2005-01-01 16:00:00,8.182,14.527,5.272,10.402
2005-01-01 17:00:00,8.944,15.484,6.509,12.034
2005-01-01 18:00:00,8.379,17.289,6.028,13.358
2005-01-01 19:00:00,8.241,18.086,5.785,13.761
2005-01-01 20:00:00,8.869,19.848,6.239,15.078
2005-01-01 21:00:00,17.902,16.445,13.137,12.659
2005-01-01 22:00:00,20.878,1.966,15.856,1.868
2005-01-01 23:00:00,20.936,2.03,15.976,1.714
2005-01-02 00:00:00,22.534,0.721,17.48,0.717
2005-01-02 01:00:00,21.745,-0.095,17.013,0.062
2005-01-02 02:00:00,22.116,-1.067,17.387,-0.701
2005-01-02 03:00:00,20.825,-1.561,16.412,-1.086
2005-01-02 04:00:00,21.738,-2.193,17.266,-1.588
2005-01-02 05:00:00,21.75,-2.02,17.41,-1.465
2005-01-02 06:00:00,21.659,-2.952,17.22,-2.236
2005-01-02 07:00:00,22.207,-3.663,17.691,-2.849
2005-01-02 08:00:00,21.557,-2.866,17.144,-2.192
2005-01-02 09:00:00,20.818,-3.064,16.682,-2.346
2005-01-02 10:00:00,20.43,-3.163,16.296,-2.343
2005-01-02 11:00:00,22.411,-4.446,17.962,-3.452
2005-01-02 12:00:00,21.445,-4.437,17.08,-3.379
2005-01-02 13:00:00,21.429,-4.661,17.07,-3.55
2005-01-02 14:00:00,21.691,-5.731,17.324,-4.441
2005-01-02 15:00:00,21.13,-6.288,16.832,-4.87
2005-01-02 16:00:00,21.012,-5.924,16.806,-4.608
2005-01-02 17:00:00,21.158,-5.347,16.98,-4.176
2005-01-02 18:00:00,21.591,-5.779,17.389,-4.547
2005-01-02 19:00:00,21.284,-6.377,17.208,-5.096
2005-01-02 20:00:00,19.71,-5.458,15.991,-4.358
2005-01-02 21:00:00,19.988,-5.897,16.341,-4.696
2005-01-02 22:00:00,19.953,-8.671,16.344,-7.046
2005-01-02 23:00:00,18.15,-10.978,14.742,-8.854
