,ind,name,x,y,h,D
0,0,AL01,321655.0,6038873.0,105.0,154
1,1,AL02,322375.0,6039547.0,105.0,154
2,2,AL04,324018.0,6041084.0,105.0,154
3,3,AL05,324959.0,6041890.0,105.0,154
4,4,AL11,320745.0,6039960.0,105.0,154
5,5,AL12,321681.0,6040635.0,105.0,154
6,6,AL14,323216.0,6041972.0,105.0,154
7,7,AL17,320786.0,6040750.0,105.0,154
8,8,AL19,322444.0,6041859.0,105.0,154
9,9,AL23,319959.0,6040898.0,105.0,154
10,10,AL24,320911.0,6041547.0,105.0,154
11,11,AL25,321739.0,6042134.0,105.0,154
12,12,AL31,320993.0,6042346.0,105.0,154
13,13,AL34,319376.0,6041595.0,105.0,154
14,14,AL35,319722.0,6042310.0,105.0,154
15,15,AL42,318861.0,6042210.0,105.0,154
