,ind,name,x,y,h,D
0,0,BR2-45,339378.0,5978816.9,117.0,164
1,1,BR2-54,343740.0,5984024.7,117.0,164
2,2,BR2-7,331473.7,5982194.6,117.0,164
3,3,BR2-8,332271.5,5985556.5,117.0,164
4,4,BR2-9,332441.7,5982901.1,117.0,164
5,5,BR2-10,331969.4,5981362.6,117.0,164
6,6,BR2-11,332334.3,5980871.0,117.0,164
7,7,BR2-12,332984.5,5985531.0,117.0,164
8,8,BR2-13,333243.8,5984337.5,117.0,164
9,9,BR2-14,333194.3,5982875.6,117.0,164
10,10,BR2-15,332909.4,5981390.0,117.0,164
11,11,BR2-16,333091.7,5979850.1,117.0,164
12,12,BR2-17,334384.0,5985480.6,117.0,164
13,13,BR2-6,331711.4,5982926.1,117.0,164
14,14,BR2-18,334343.5,5984299.8,117.0,164
15,15,BR2-21,333556.2,5980608.1,117.0,164
16,16,BR2-22,333841.4,5979823.7,117.0,164
17,17,BR2-23,333680.9,5979054.4,117.0,164
18,18,BR2-24,334693.9,5982824.2,117.0,164
19,19,BR2-25,334670.5,5982136.4,117.0,164
20,20,BR2-26,334564.6,5979023.6,117.0,164
21,21,BR2-27,334203.7,5978348.9,117.0,164
22,22,BR2-28,334650.3,5977746.6,117.0,164
23,23,BR2-29,335366.7,5980544.9,117.0,164
24,24,BR2-30,335344.0,5979774.6,117.0,164
25,25,BR2-31,335314.2,5978997.2,117.0,164
26,26,BR2-20,333919.1,5982107.0,117.0,164
27,27,BR2-5,331720.3,5983670.3,117.0,164
28,28,BR2-19,334319.3,5983581.9,117.0,164
29,29,BR2-3,331040.0,5982952.4,117.0,164
30,30,BR2-4,331746.1,5984413.3,117.0,164
31,31,BR2-53,343764.7,5984774.1,117.0,164
32,32,BR2-52,342265.5,5984825.1,117.0,164
33,33,BR2-51,342696.7,5978633.5,117.0,164
34,34,BR2-50,341941.3,5978478.9,117.0,164
35,35,BR2-49,341185.2,5978324.5,117.0,164
36,36,BR2-48,340448.2,5978173.1,117.0,164
37,37,BR2-46,338973.2,5977871.5,117.0,164
38,38,BR2-44,338235.9,5977720.7,117.0,164
39,39,BR2-43,338472.8,5978731.3,117.0,164
40,40,BR2-42,338338.3,5979666.7,117.0,164
41,41,BR2-41,337498.6,5977569.6,117.0,164
42,42,BR2-47,339710.5,5978022.4,117.0,164
43,43,BR2-32,335287.9,5978223.4,117.0,164
44,44,BR2-39,336789.3,5978167.2,117.0,164
45,45,BR2-38,336813.1,5978944.7,117.0,164
46,46,BR2-37,336839.6,5979718.5,117.0,164
47,47,BR2-36,336866.0,5980492.8,117.0,164
48,48,BR2-35,336515.4,5981213.0,117.0,164
49,49,BR2-34,335895.2,5977240.9,117.0,164
50,50,BR2-33,335097.0,5977143.5,117.0,164
51,51,BR2-55,343714.0,5983275.0,117.0,164
52,52,BR2-0,331021.5,5985182.8,117.0,164
53,53,BR2-1,331024.6,5984439.0,117.0,164
54,54,BR2-40,336761.5,5977418.5,117.0,164
55,55,BR2-2,331031.2,5983695.1,117.0,164
