,ind,name,x,y,h,D
0,0,T00,305200.30339848506,5988143.469119507,88.5,130
1,1,T01,305004.89395854913,5988808.387545292,88.5,130
2,2,T02,304809.48830201785,5989473.308640171,88.5,130
3,3,T03,304613.0900302839,5990138.3170722425,88.5,130
4,4,T04,304417.69193783146,5990803.2435100125,88.5,130
5,5,T05,304222.29762766475,5991468.172615103,88.5,130
6,6,T06,304026.1647607781,5992136.178284283,88.5,130
7,7,T07,303830.7780318904,5992801.112733535,88.5,130
8,8,T08,303635.3950841669,5993466.049848323,88.5,130
9,9,T09,303440.01591723424,5994130.989628057,88.5,130
10,10,T10,303244.640530719,5994795.932072143,88.5,130
11,11,T11,303049.268924248,5995460.87717999,88.5,130
12,12,T12,306068.6204467359,5988098.804555744,88.5,130
13,13,T13,305887.4227480722,5988718.3525987305,88.5,130
14,14,T14,305706.1436767016,5989336.906561275,88.5,130
15,15,T15,305523.9561578161,5989956.543884053,88.5,130
16,16,T16,305342.6836415916,5990575.102461899,88.5,130
17,17,T17,305160.50268631894,5991194.744414091,88.5,130
18,18,T18,304978.49438404327,5991816.38147213,88.5,130
19,19,T19,304797.2317125966,5992434.946976103,88.5,130
20,20,T20,304614.9759180657,5993053.59947857,88.5,130
21,21,T21,304433.8044955027,5993673.165990111,88.5,130
22,22,T22,304252.5516495287,5994291.738405406,88.5,130
23,23,T23,304070.390389922,5994911.394237373,88.5,130
24,24,T24,303889.14409426576,5995529.971260337,88.5,130
25,25,T25,306938.01124378905,5988055.052156801,88.5,130
26,26,T26,306737.32343061635,5988740.479549796,88.5,130
27,27,T27,306536.7243011871,5989426.906150857,88.5,130
28,28,T28,306336.04453965405,5990112.339200984,88.5,130
29,29,T29,306135.36879998364,5990797.775077877,88.5,130
30,30,T30,305934.69708176545,5991483.213780889,88.5,130
31,31,T31,305732.29067471344,5992171.813844872,88.5,130
32,32,T32,305531.6270148922,5992857.258216502,88.5,130
33,33,T33,305330.96737529,5993542.705412305,88.5,130
34,34,T34,305130.3117554964,5994228.155431639,88.5,130
35,35,T35,304929.66015510075,5994913.608273855,88.5,130
36,36,T36,304728.0161787806,5995599.1486594975,88.5,130
37,37,T37,307813.37295682845,5988010.792295628,88.5,130
38,38,T38,307626.72740012856,5988648.857109695,88.5,130
39,39,T39,307440.08532969235,5989286.924373088,88.5,130
40,40,T40,307253.4467451885,5989924.994085283,88.5,130
41,41,T41,307067.8080207237,5990562.981573971,88.5,130
42,42,T42,306881.17640863056,5991201.056175992,88.5,130
43,43,T43,306693.7212724243,5991841.210664521,88.5,130
44,44,T44,306507.0966407666,5992479.290169795,88.5,130
45,45,T45,306320.4754933821,5993117.372121266,88.5,130
46,46,T46,306133.857829939,5993755.456518409,88.5,130
47,47,T47,305947.24365010584,5994393.543360706,88.5,130
48,48,T48,305760.6329535509,5995031.632647635,88.5,130
49,49,T49,305575.0221266891,5995669.639657144,88.5,130
50,50,T50,308682.7491160729,5987967.040738443,88.5,130
51,51,T51,308476.78312830103,5988672.976366189,88.5,130
52,52,T52,308269.90970633377,5989379.996008885,88.5,130
53,53,T53,308063.95226172823,5990085.93762793,88.5,130
54,54,T54,307857.9990854411,5990791.882237275,88.5,130
55,55,T55,307652.0501770228,5991497.829836215,88.5,130
56,56,T56,307444.4515455478,5992207.935279519,88.5,130
57,57,T57,307238.5111956219,5992913.888876083,88.5,130
58,58,T58,307032.5751122114,5993619.845460125,88.5,130
59,59,T59,306826.643294866,5994325.805030943,88.5,130
60,60,T60,306619.80408116616,5995032.84867975,88.5,130
61,61,T61,306413.88079977536,5995738.814230562,88.5,130
62,62,T62,309552.1179814841,5987923.289597747,88.5,130
63,63,T63,309360.0247433224,5988579.870599442,88.5,130
64,64,T64,309168.9315503508,5989236.369538307,88.5,130
65,65,T65,308977.9267152222,5989893.867415465,88.5,130
66,66,T66,308785.84455691697,5990550.456190293,88.5,130
67,67,T67,308594.7624474623,5991206.962881385,88.5,130
68,68,T68,308402.03004323714,5991867.626964599,88.5,130
69,69,T69,308210.95534018986,5992524.138834793,88.5,130
70,70,T70,308018.8879643602,5993180.737980743,88.5,130
71,71,T71,307827.82064226444,5993837.255015063,88.5,130
72,72,T72,307636.8417202828,5994494.770994786,88.5,130
73,73,T73,307444.7854166917,5995151.377901943,88.5,130
74,74,T74,307253.729170482,5995807.902676584,88.5,130
