,ind,name,x,y,h,D
0,0,BU61,420046.0,6099558.0,91.0,120
1,1,BU60,419346.0,6099540.0,91.0,120
2,2,BU59,423311.0,6099906.0,91.0,120
3,3,BU58,422742.0,6099443.0,91.0,120
4,4,BU57,422073.0,6099184.0,91.0,120
5,5,BU56,421353.0,6099061.0,91.0,120
6,6,BU55,420666.0,6098966.0,91.0,120
7,7,BU53,419328.0,6098790.0,91.0,120
8,8,BU52,423297.0,6099104.0,91.0,120
9,9,BU51,422777.0,6098540.0,91.0,120
10,10,BU50,422092.0,6098426.0,91.0,120
11,11,BU49,421394.0,6098341.0,91.0,120
12,12,BU48,420688.0,6098225.0,91.0,120
13,13,BU47,419991.0,6098074.0,91.0,120
14,14,BU46,419300.0,6098026.0,91.0,120
15,15,BU45,423280.0,6098102.0,91.0,120
16,16,BU54,420002.0,6098805.0,91.0,120
17,17,BU62,420729.0,6099702.0,91.0,120
18,18,BU64,422102.0,6099894.0,91.0,120
19,19,BU65,422741.0,6100220.0,91.0,120
20,20,BU44,422708.0,6097863.0,91.0,120
21,21,BU80,423348.0,6102184.0,91.0,120
22,22,BU79,422654.0,6102165.0,91.0,120
23,23,BU78,421991.0,6102025.0,91.0,120
24,24,BU77,421299.0,6101906.0,91.0,120
25,25,BU76,423338.0,6101449.0,91.0,120
26,26,BU75,422480.0,6101451.0,91.0,120
27,27,BU63,421426.0,6099800.0,91.0,120
28,28,BU74,421809.0,6101291.0,91.0,120
29,29,BU72,420376.0,6101013.0,91.0,120
30,30,BU71,423296.0,6100690.0,91.0,120
31,31,BU70,422307.0,6100723.0,91.0,120
32,32,BU69,421633.0,6100543.0,91.0,120
33,33,BU68,420942.0,6100428.0,91.0,120
34,34,BU67,420256.0,6100272.0,91.0,120
35,35,BU66,419565.0,6100251.0,91.0,120
36,36,BU73,421078.0,6101173.0,91.0,120
37,37,BU43,422085.0,6097695.0,91.0,120
38,38,BU15,422167.0,6094382.0,91.0,120
39,39,BU41,420694.0,6097482.0,91.0,120
40,40,BU19,421823.0,6094989.0,91.0,120
41,41,BU18,421146.0,6094825.0,91.0,120
42,42,BU16,422851.0,6094465.0,91.0,120
43,43,BU14,421490.0,6094228.0,91.0,120
44,44,BU13,420790.0,6094145.0,91.0,120
45,45,BU12,423207.0,6093847.0,91.0,120
46,46,BU11,422527.0,6093769.0,91.0,120
47,47,BU20,422504.0,6095058.0,91.0,120
48,48,BU10,421845.0,6093651.0,91.0,120
49,49,BU07,422184.0,6093050.0,91.0,120
50,50,BU06,421485.0,6092937.0,91.0,120
51,51,BU05,423185.0,6092531.0,91.0,120
52,52,BU04,422507.0,6092438.0,91.0,120
53,53,BU03,421836.0,6092360.0,91.0,120
54,54,BU02,423170.0,6091747.0,91.0,120
55,55,BU01,422181.0,6091768.0,91.0,120
56,56,BU09,421150.0,6093538.0,91.0,120
57,57,BU21,423211.0,6095141.0,91.0,120
58,58,BU22,420085.0,6095325.0,91.0,120
59,59,BU23,420790.0,6095418.0,91.0,120
60,60,BU40,419988.0,6097346.0,91.0,120
61,61,BU39,419302.0,6097262.0,91.0,120
62,62,BU38,423265.0,6097198.0,91.0,120
63,63,BU37,422190.0,6096993.0,91.0,120
64,64,BU36,421488.0,6096871.0,91.0,120
65,65,BU35,420790.0,6096769.0,91.0,120
66,66,BU34,420090.0,6096634.0,91.0,120
67,67,BU33,419390.0,6096524.0,91.0,120
68,68,BU32,423231.0,6096439.0,91.0,120
69,69,BU31,422516.0,6096357.0,91.0,120
70,70,BU30,421804.0,6096259.0,91.0,120
71,71,BU29,421126.0,6096163.0,91.0,120
72,72,BU28,420433.0,6096012.0,91.0,120
73,73,BU27,419740.0,6095922.0,91.0,120
74,74,BU26,422886.0,6095762.0,91.0,120
75,75,BU25,422181.0,6095673.0,91.0,120
76,76,BU24,421486.0,6095562.0,91.0,120
77,77,BU42,421400.0,6097589.0,91.0,120
78,78,BU08,422885.0,6093137.0,91.0,120
79,79,BU17,420445.0,6094742.0,91.0,120
