,ind,name,x,y,h,D
0,0,GW1-32,366866.0,5987738.0,112.0,154
1,1,GW1-1,366343.0,5992106.9,112.0,154
2,2,GW1-2,366966.0,5991548.0,112.0,154
3,3,GW1-3,368025.0,5990535.0,112.0,154
4,4,GW1-4,368458.0,5990119.0,112.0,154
5,5,GW1-5,369632.0,5988807.0,112.0,154
6,6,GW1-6,370887.0,5987535.0,112.0,154
7,7,GW1-7,372012.0,5986292.0,112.0,154
8,8,GW1-33,367544.0,5986958.9,112.0,154
9,9,GW1-12,366836.0,5990801.0,112.0,154
10,10,GW1-13,367270.0,5990198.0,112.0,154
11,11,GW1-14,367706.0,5989696.0,112.0,154
12,12,GW1-15,369878.0,5987630.0,112.0,154
13,13,GW1-16,371023.0,5986531.0,112.0,154
14,14,GW1-0,365377.0,5992707.0,112.0,154
15,15,GW1-18,371867.0,5984769.0,112.0,154
16,16,GW1-19,365410.0,5991209.0,112.0,154
17,17,GW1-20,365828.0,5990713.0,112.0,154
18,18,GW1-11,366123.0,5991376.9,112.0,154
19,19,GW1-21,366218.0,5990197.0,112.0,154
20,20,GW1-23,367312.0,5988964.0,112.0,154
21,21,GW1-24,368431.0,5987799.9,112.0,154
22,22,GW1-25,369338.0,5986623.0,112.0,154
23,23,GW1-26,369962.0,5986238.0,112.0,154
24,24,GW1-27,370341.0,5985475.0,112.0,154
25,25,GW1-28,371101.0,5984607.0,112.0,154
26,26,GW1-29,365278.0,5989659.0,112.0,154
27,27,GW1-30,365763.0,5989104.0,112.0,154
28,28,GW1-31,366282.0,5988502.0,112.0,154
29,29,GW1-22,366988.0,5989473.0,112.0,154
30,30,GW1-10,365447.0,5991878.9,112.0,154
31,31,GW1-9,373334.0,5985091.0,112.0,154
32,32,GW1-8,372572.0,5985373.0,112.0,154
33,33,GW1-54,365756.0,5983452.0,112.0,154
34,34,GW1-53,366514.0,5983616.0,112.0,154
35,35,GW1-52,365079.0,5984795.0,112.0,154
36,36,GW1-51,367375.0,5983800.0,112.0,154
37,37,GW1-50,366584.0,5984407.0,112.0,154
38,38,GW1-49,366005.5,5984931.6,112.0,154
39,39,GW1-48,365103.5,5985666.7,112.0,154
40,40,GW1-47,368703.0,5984088.0,112.0,154
41,41,GW1-46,368110.0,5984555.0,112.0,154
42,42,GW1-45,367654.0,5984935.0,112.0,154
43,43,GW1-44,366586.0,5986050.8,112.0,154
44,44,GW1-43,365782.0,5986686.0,112.0,154
45,45,GW1-42,365251.0,5987027.0,112.0,154
46,46,GW1-41,367831.5,5985861.2,112.0,154
47,47,GW1-40,366334.0,5987222.0,112.0,154
48,48,GW1-39,365294.0,5987781.0,112.0,154
49,49,GW1-38,366141.0,5987821.0,112.0,154
50,50,GW1-37,365250.0,5988621.9,112.0,154
51,51,GW1-36,369884.0,5984345.0,112.0,154
52,52,GW1-35,369214.4,5985118.4,112.0,154
53,53,GW1-34,368718.0,5985624.4,112.0,154
54,54,GW1-17,371127.0,5985781.0,112.0,154
