,ind,name,x,y,h,D
0,0,WH1463,427471.0,6150335.0,70.0,80
1,1,WH1341,426214.0,6151447.0,70.0,80
2,2,WH1347,426624.0,6148112.0,70.0,80
3,3,WH11113,424671.0,6150335.0,70.0,80
4,4,WH1461,427334.0,6151447.0,70.0,80
5,5,WH1464,427539.0,6149780.0,70.0,80
6,6,WH11115,424807.0,6149224.0,70.0,80
7,7,WH1237,426064.0,6148112.0,70.0,80
8,8,WH1462,427402.0,6150891.0,70.0,80
9,9,WH11107,424384.0,6148112.0,70.0,80
10,10,WH1344,426419.0,6149780.0,70.0,80
11,11,WH1468,427812.0,6147556.0,70.0,80
12,12,WH11105,424247.0,6149224.0,70.0,80
13,13,WH1585,428727.0,6149224.0,70.0,80
14,14,WH1358,427252.0,6147556.0,70.0,80
15,15,WH1594,429219.0,6149780.0,70.0,80
16,16,WH1223,425231.0,6150335.0,70.0,80
17,17,WH1584,428659.0,6149780.0,70.0,80
18,18,WH1598,429492.0,6147556.0,70.0,80
19,19,WH1477,428304.0,6148112.0,70.0,80
20,20,WH1235,425927.0,6149224.0,70.0,80
21,21,WH1471,427894.0,6151447.0,70.0,80
22,22,WH11116,424875.0,6148668.0,70.0,80
23,23,WH1234,425859.0,6149780.0,70.0,80
24,24,WH1356,427115.0,6148668.0,70.0,80
25,25,WH1227,425504.0,6148112.0,70.0,80
26,26,WH1582,428522.0,6150891.0,70.0,80
27,27,WH11118,425012.0,6147556.0,70.0,80
28,28,WH1465,427607.0,6149224.0,70.0,80
29,29,WH1346,426555.0,6148668.0,70.0,80
30,30,WH1596,429355.0,6148668.0,70.0,80
31,31,WH1232,425722.0,6150891.0,70.0,80
32,32,WH1225,425367.0,6149224.0,70.0,80
33,33,WH11104,424179.0,6149780.0,70.0,80
34,34,WH1343,426351.0,6150335.0,70.0,80
35,35,WH1586,428795.0,6148668.0,70.0,80
36,36,WH11102,424042.0,6150891.0,70.0,80
37,37,WH1591,429014.0,6151447.0,70.0,80
38,38,WH11111,424534.0,6151447.0,70.0,80
39,39,WH1467,427744.0,6148112.0,70.0,80
40,40,WH1595,429287.0,6149224.0,70.0,80
41,41,WH1224,425299.0,6149780.0,70.0,80
42,42,WH1354,426979.0,6149780.0,70.0,80
43,43,WH1348,426692.0,6147556.0,70.0,80
44,44,WH1593,429151.0,6150335.0,70.0,80
45,45,WH1352,426842.0,6150891.0,70.0,80
46,46,WH1475,428167.0,6149224.0,70.0,80
47,47,WH11106,424315.0,6148668.0,70.0,80
48,48,WH1588,428932.0,6147556.0,70.0,80
49,49,WH1236,425995.0,6148668.0,70.0,80
50,50,WH1351,426774.0,6151447.0,70.0,80
51,51,WH1222,425162.0,6150891.0,70.0,80
52,52,WH1353,426911.0,6150335.0,70.0,80
53,53,WH11101,423974.0,6151447.0,70.0,80
54,54,WH1478,428372.0,6147556.0,70.0,80
55,55,WH1472,427962.0,6150891.0,70.0,80
56,56,WH1238,426132.0,6147556.0,70.0,80
57,57,WH11114,424739.0,6149780.0,70.0,80
58,58,WH1473,428031.0,6150335.0,70.0,80
59,59,WH1592,429082.0,6150891.0,70.0,80
60,60,WH1357,427184.0,6148112.0,70.0,80
61,61,WH1221,425094.0,6151447.0,70.0,80
62,62,WH1233,425791.0,6150335.0,70.0,80
63,63,WH1355,427047.0,6149224.0,70.0,80
64,64,WH1345,426487.0,6149224.0,70.0,80
65,65,WH1231,425654.0,6151447.0,70.0,80
66,66,WH1583,428591.0,6150335.0,70.0,80
67,67,WH11112,424602.0,6150891.0,70.0,80
68,68,WH11103,424111.0,6150335.0,70.0,80
69,69,WH1587,428864.0,6148112.0,70.0,80
70,70,WH1228,425572.0,6147556.0,70.0,80
71,71,WH1581,428454.0,6151447.0,70.0,80
72,72,WH11117,424944.0,6148112.0,70.0,80
73,73,WH1476,428235.0,6148668.0,70.0,80
74,74,WH1597,429424.0,6148112.0,70.0,80
75,75,WH1226,425435.0,6148668.0,70.0,80
76,76,WH1342,426282.0,6150891.0,70.0,80
77,77,WH1474,428099.0,6149780.0,70.0,80
78,78,WH1466,427675.0,6148668.0,70.0,80
