,ind,name,x,y,h,D
0,0,Kaskasi WTG 21,416788.0,6038698.0,107.5,167
1,1,Kaskasi WTG 22,412086.0,6038058.0,107.5,167
2,2,Kaskasi WTG 23,412898.0,6038152.0,107.5,167
3,3,Kaskasi WTG 24,413739.0,6038081.0,107.5,167
4,4,Kaskasi WTG 25,414674.0,6038031.0,107.5,167
5,5,Kaskasi WTG 26,415602.0,6038155.9,107.5,167
6,6,Kaskasi WTG 27,416589.0,6038019.0,107.5,167
7,7,Kaskasi WTG 36,416632.0,6037463.0,107.5,167
8,8,Kaskasi WTG 29,417965.0,6038101.0,107.5,167
9,9,Kaskasi WTG 30,419219.0,6038386.0,107.5,167
10,10,Kaskasi WTG 31,412111.0,6037458.0,107.5,167
11,11,Kaskasi WTG 32,412869.0,6037459.0,107.5,167
12,12,Kaskasi WTG 33,413814.0,6037508.0,107.5,167
13,13,Kaskasi WTG 34,414730.0,6037461.0,107.5,167
14,14,Kaskasi WTG 35,415684.0,6037462.0,107.5,167
15,15,Kaskasi WTG 20,415703.0,6038835.0,107.5,167
16,16,Kaskasi WTG 28,417473.0,6038469.9,107.5,167
17,17,Kaskasi WTG 19,414808.0,6038994.0,107.5,167
18,18,Kaskasi WTG 10,412838.0,6039433.0,107.5,167
19,19,Kaskasi WTG 17,412756.0,6038825.0,107.5,167
20,20,Kaskasi WTG 37,417389.0,6037464.0,107.5,167
21,21,Kaskasi WTG 1,412127.0,6040001.0,107.5,167
22,22,Kaskasi WTG 2,412848.0,6039989.0,107.5,167
23,23,Kaskasi WTG 3,413921.0,6039970.9,107.5,167
24,24,Kaskasi WTG 4,414758.0,6039832.0,107.5,167
25,25,Kaskasi WTG 5,415652.0,6039942.0,107.5,167
26,26,Kaskasi WTG 6,416697.0,6039924.0,107.5,167
27,27,Kaskasi WTG 18,413889.0,6038733.0,107.5,167
28,28,Kaskasi WTG 7,417716.0,6039907.0,107.5,167
29,29,Kaskasi WTG 9,411950.0,6039203.0,107.5,167
30,30,Kaskasi WTG 11,413823.0,6039361.0,107.5,167
31,31,Kaskasi WTG 12,415745.0,6039412.0,107.5,167
32,32,Kaskasi WTG 13,416789.0,6039321.0,107.5,167
33,33,Kaskasi WTG 14,417865.0,6039300.0,107.5,167
34,34,Kaskasi WTG 15,419229.0,6039110.9,107.5,167
35,35,Kaskasi WTG 16,411937.0,6038627.1,107.5,167
36,36,Kaskasi WTG 8,419204.0,6039882.0,107.5,167
37,37,Kaskasi WTG 38,418118.0,6037464.0,107.5,167
