,ind,name,x,y,h,D
0,0,M18,413015.0,6026313.7,89.0,120
1,1,M17,413001.9,6025762.1,89.0,120
2,2,M26,413701.3,6026138.3,89.0,120
3,3,M20,413151.8,6027467.7,89.0,120
4,4,M21,413020.4,6027947.4,89.0,120
5,5,M22,412560.5,6028306.6,89.0,120
6,6,M23,413640.7,6024403.6,89.0,120
7,7,M24,414174.9,6024716.6,89.0,120
8,8,M25,414876.2,6025720.9,89.0,120
9,9,M16,412975.2,6025216.6,89.0,120
10,10,M27,414124.5,6026752.0,89.0,120
11,11,M28,414048.4,6027328.7,89.0,120
12,12,M19,413033.1,6026823.3,89.0,120
13,13,M15,413067.8,6024733.0,89.0,120
14,14,M10,411767.9,6027522.4,89.0,120
15,15,M13,412403.1,6024252.3,89.0,120
16,16,M12,412425.0,6023557.1,89.0,120
17,17,M11,411778.1,6028020.9,89.0,120
18,18,M09,411758.5,6027021.0,89.0,120
19,19,M08,411746.6,6026521.7,89.0,120
20,20,M07,411739.7,6026023.7,89.0,120
21,21,M06,411730.8,6025479.6,89.0,120
22,22,M05,411719.7,6024983.2,89.0,120
23,23,M04,411703.1,6024478.0,89.0,120
24,24,M03,411700.7,6023981.7,89.0,120
25,25,M02,411690.4,6023485.5,89.0,120
26,26,M01,411681.3,6022988.2,89.0,120
27,27,M29,413987.0,6027938.5,89.0,120
28,28,M14,412948.5,6024033.2,89.0,120
29,29,M30,413944.0,6028520.5,89.0,120
30,30,M63,418536.8,6029521.5,89.0,120
31,31,M32,414836.4,6025098.2,89.0,120
32,32,M59,418170.5,6027266.3,89.0,120
33,33,M60,418591.6,6027689.9,89.0,120
34,34,M61,418522.6,6028286.8,89.0,120
35,35,M62,418600.9,6028942.8,89.0,120
36,36,M64,418409.4,6030281.5,89.0,120
37,37,M65,418781.7,6030826.4,89.0,120
38,38,M66,418333.6,6031539.2,89.0,120
39,39,M67,418176.5,6032097.8,89.0,120
40,40,M68,419321.8,6026998.1,89.0,120
41,41,M69,419891.2,6027175.3,89.0,120
42,42,M70,419862.8,6027724.1,89.0,120
43,43,M71,419836.4,6028266.7,89.0,120
44,44,M72,419809.1,6028814.4,89.0,120
45,45,M73,419781.4,6029361.9,89.0,120
46,46,M74,419755.7,6029903.1,89.0,120
47,47,M31,413906.3,6029176.1,89.0,120
48,48,M76,419702.2,6030990.2,89.0,120
49,49,M77,419686.2,6031537.0,89.0,120
50,50,M78,419420.1,6032004.6,89.0,120
51,51,M79,417535.1,6031475.8,89.0,120
52,52,M80,419083.5,6032510.3,89.0,120
53,53,M58,418695.9,6026812.6,89.0,120
54,54,M57,418002.0,6026564.3,89.0,120
55,55,M75,419730.7,6030445.8,89.0,120
56,56,M55,417222.4,6030482.6,89.0,120
57,57,M56,416707.4,6030970.1,89.0,120
58,58,M33,415495.8,6025463.4,89.0,120
59,59,M34,415295.0,6026169.8,89.0,120
60,60,M35,415167.8,6026834.1,89.0,120
61,61,M37,414964.8,6028280.6,89.0,120
62,62,M38,414855.2,6028993.8,89.0,120
63,63,M39,413255.7,6028780.5,89.0,120
64,64,M40,414716.8,6029700.1,89.0,120
65,65,M41,416379.6,6025885.4,89.0,120
66,66,M42,416387.7,6026385.8,89.0,120
67,67,M43,416276.0,6027059.4,89.0,120
68,68,M36,414814.6,6027664.3,89.0,120
69,69,M45,415454.4,6030161.5,89.0,120
70,70,M44,416197.6,6027846.2,89.0,120
71,71,M53,417277.9,6028935.8,89.0,120
72,72,M54,417214.5,6029643.8,89.0,120
73,73,M51,417381.9,6027551.8,89.0,120
74,74,M50,417302.5,6026859.7,89.0,120
75,75,M52,417349.2,6028277.7,89.0,120
76,76,M49,417238.9,6026265.0,89.0,120
77,77,M48,415976.6,6030510.9,89.0,120
78,78,M47,416027.8,6029560.2,89.0,120
79,79,M46,416119.5,6028647.0,89.0,120
