,ind,name,x,y,h,D
0,0,N21,353039.9,5984489.1,89.0,126
1,1,N22,353771.5,5984227.7,89.0,126
2,2,N23,354510.1,5983973.9,89.0,126
3,3,N24,355246.2,5983720.5,89.0,126
4,4,N28,358539.3,5983353.8,89.0,126
5,5,N26,356887.4,5983231.2,89.0,126
6,6,N27,357712.8,5983290.8,89.0,126
7,7,N20,352330.4,5984542.6,89.0,126
8,8,N29,359528.2,5983496.1,89.0,126
9,9,N06,360341.8,5985029.9,89.0,126
10,10,N25,355986.4,5983476.8,89.0,126
11,11,N19,361963.8,5984473.8,89.0,126
12,12,N16,358741.8,5984260.3,89.0,126
13,13,N18,361133.9,5984306.6,89.0,126
14,14,N17,360316.0,5984086.1,89.0,126
15,15,N15,357518.0,5984076.9,89.0,126
16,16,N14,356690.9,5984034.7,89.0,126
17,17,N13,355945.8,5984276.3,89.0,126
18,18,N12,355209.0,5984524.5,89.0,126
19,19,N11,354468.6,5984773.0,89.0,126
20,20,N10,353735.8,5985026.5,89.0,126
21,21,N09,352351.6,5985192.3,89.0,126
22,22,N05,359522.6,5984937.6,89.0,126
23,23,N08,361987.4,5985287.2,89.0,126
24,24,N07,361162.3,5985119.3,89.0,126
25,25,N04,358700.9,5984885.1,89.0,126
26,26,N45,361673.4,5982795.6,89.0,126
27,27,N02,357052.9,5984821.0,89.0,126
28,28,N44,360813.2,5982596.9,89.0,126
29,29,N43,359959.8,5982393.8,89.0,126
30,30,N42,359095.5,5982212.1,89.0,126
31,31,N47,352276.9,5982868.8,89.0,126
32,32,N41,358401.7,5982538.4,89.0,126
33,33,N40,357574.2,5982476.1,89.0,126
34,34,N39,356685.4,5982415.7,89.0,126
35,35,N38,355945.8,5982659.7,89.0,126
36,36,N37,355208.7,5982909.8,89.0,126
37,37,N36,354471.1,5983160.0,89.0,126
38,38,N35,353736.6,5983409.1,89.0,126
39,39,N03,357879.8,5984861.6,89.0,126
40,40,N34,353000.7,5983658.0,89.0,126
41,41,N32,361942.3,5983659.9,89.0,126
42,42,N48,353034.8,5982611.9,89.0,126
43,43,N49,353792.0,5982354.3,89.0,126
44,44,N50,354739.9,5982032.8,89.0,126
45,45,N51,352256.3,5982229.0,89.0,126
46,46,N52,352236.0,5981587.5,89.0,126
47,47,N53,353104.3,5981662.8,89.0,126
48,48,N54,353971.8,5981738.1,89.0,126
49,49,N46,362480.9,5982982.2,89.0,126
50,50,N30,360290.9,5983306.0,89.0,126
51,51,N01,355915.1,5985126.8,89.0,126
52,52,N33,352309.4,5983893.1,89.0,126
53,53,N31,361119.0,5983478.6,89.0,126
