index,id,name,x,y,h,D
0,0,T0,322059.51850206417,6042869.899387118,150.0,240.0
1,1,T1,324699.51850206417,6044069.899387118,150.0,240.0
2,2,T2,330620.7298548686,6048916.893752581,150.0,240.0
3,3,T3,329900.7298548686,6047716.893752581,150.0,240.0
4,4,T4,320859.51850206417,6044549.899387118,150.0,240.0
5,5,T5,323499.51850206417,6044789.899387118,150.0,240.0
6,6,T6,324699.51850206417,6046949.899387118,150.0,240.0
7,7,T7,332540.7298548686,6047716.893752581,150.0,240.0
8,8,T8,326540.7298548686,6047956.893752581,150.0,240.0
9,9,T9,319179.51850206417,6043589.899387118,150.0,240.0
10,10,T10,322299.51850206417,6044069.899387118,150.0,240.0
11,11,T11,332060.7298548686,6049156.893752581,150.0,240.0
12,12,T12,329180.7298548686,6049156.893752581,150.0,240.0
13,13,T13,331340.7298548686,6047716.893752581,150.0,240.0
14,14,T14,323499.51850206417,6043349.899387118,150.0,240.0
15,15,T15,324699.51850206417,6045509.899387118,150.0,240.0
16,16,T16,328460.7298548686,6047716.893752581,150.0,240.0
17,17,T17,327740.7298548686,6048916.893752581,150.0,240.0
18,18,T18,322299.51850206417,6045509.899387118,150.0,240.0
19,19,T19,324699.51850206417,6042869.899387118,150.0,240.0
20,20,T20,323499.51850206417,6046229.899387118,150.0,240.0
21,21,T21,330140.7298548686,6050356.893752581,150.0,240.0
22,22,T22,333740.7298548686,6048196.893752581,150.0,240.0
23,23,T23,320619.51850206417,6043109.899387118,150.0,240.0
