,ind,name,x,y,h,D
0,0,WEA_S2-3,303341.3,6024458.7,90.0,122
1,1,WEA_S3-7,304231.5,6025419.8,90.0,122
2,2,WEA_S2-4,304404.1,6024502.2,90.0,122
3,3,WEA_S2-6,304577.6,6023579.2,90.0,122
4,4,WEA_S1-4,304750.8,6022658.0,90.0,122
5,5,WEA_S1-3,303680.2,6022618.5,90.0,122
6,6,WEA_S2-7,303512.9,6023527.1,90.0,122
7,7,WEA_S3-8,303171.7,6025379.8,90.0,122
8,8,WEA_S4-9,301953.8,6027352.6,90.0,122
9,9,WEA_S4-8,302832.4,6027222.5,90.0,122
10,10,WEA_S4-2,302471.4,6028155.4,90.0,122
11,11,WEA_N1-3,302290.6,6029069.6,90.0,122
12,12,WEA_N2-8,302109.7,6029983.9,90.0,122
13,13,WEA_S3-4,304058.3,6026341.0,90.0,122
14,14,WEA_S3-2,301729.8,6026227.0,90.0,122
15,15,WEA_S3-9,301899.0,6025313.2,90.0,122
16,16,WEA_S3-3,303001.0,6026300.0,90.0,122
17,17,WEA_S4-7,303885.3,6027261.3,90.0,122
18,18,WEA_N2-6,304438.8,6030092.5,90.0,122
19,19,WEA_N1-4,303537.8,6029102.9,90.0,122
20,20,WEA_N3-3a,304823.6,6032495.7,90.0,122
21,21,WEA_N4-5,305705.1,6032865.3,90.0,122
22,22,WEA_N4-6,305378.9,6031999.4,90.0,122
23,23,WEA_N2-4,305548.0,6031082.0,90.0,122
24,24,WEA_N2-5,305718.4,6030158.1,90.0,122
25,25,WEA_N1-6,305459.5,6028957.0,90.0,122
26,26,WEA_S4-5,305631.5,6028036.8,90.0,122
27,27,WEA_S2-5,305247.6,6024546.7,90.0,122
28,28,WEA_S3-6,305292.5,6025479.1,90.0,122
29,29,WEA_S3-5,305337.4,6026411.5,90.0,122
30,30,WEA_S4-6,304962.4,6027330.5,90.0,122
31,31,WEA_S4-4,304788.7,6028250.8,90.0,122
32,32,WEA_N1-5,304614.7,6029172.8,90.0,122
33,33,WEA_S2-2,302070.7,6024385.7,90.0,122
34,34,WEA_N2-3,304265.8,6031012.8,90.0,122
35,35,WEA_N3-5,304093.9,6031933.0,90.0,122
36,36,WEA_N2-7,303364.9,6030024.2,90.0,122
37,37,WEA_S4-3,303712.1,6028182.6,90.0,122
38,38,WEA_S2-8,302241.3,6023464.5,90.0,122
39,39,WEA_N2-2,303192.9,6030944.4,90.0,122
40,40,WEA_S1-9,301730.8,6021576.4,90.0,122
41,41,WEA_N3-2,305013.1,6033507.6,90.0,122
42,42,WEA_N3-4,304269.6,6032993.1,90.0,122
43,43,WEA_N3-6,303523.8,6032476.5,90.0,122
44,44,WEA_N3-7,302778.9,6031960.7,90.0,122
45,45,WEA_N3-8,302034.1,6031445.1,90.0,122
46,46,WEA_N2-1,301289.4,6030929.5,90.0,122
47,47,WEA_N2-9,301249.4,6030040.2,90.0,122
48,48,WEA_N1-2,301211.1,6029190.0,90.0,122
49,49,WEA_N1-1,301172.9,6028339.8,90.0,122
50,50,WEA_S4-1,301134.6,6027489.6,90.0,122
51,51,WEA_S4-10,301096.3,6026638.4,90.0,122
52,52,WEA_S3-1,301058.1,6025788.2,90.0,122
53,53,WEA_S2-1,300981.6,6024087.7,90.0,122
54,54,WEA_S2-9,300943.3,6023236.5,90.0,122
55,55,WEA_S1-1,300905.1,6022386.3,90.0,122
56,56,WEA_S1-10,300866.6,6021534.8,90.0,122
57,57,WEA_S1-2,302411.7,6022544.4,90.0,122
58,58,WEA_N3-1,305757.4,6034022.9,90.0,122
59,59,WEA_N4-1,306554.8,6034576.8,90.0,122
60,60,WEA_S3-10,301019.8,6024937.9,90.0,122
61,61,WEA_N4-3,306482.4,6032876.2,90.0,122
62,62,WEA_S1-8,302583.4,6021618.2,90.0,122
63,63,WEA_N4-2,306518.6,6033726.5,90.0,122
64,64,WEA_S1-7,303436.0,6021659.9,90.0,122
65,65,WEA_S1-6,304288.7,6021702.7,90.0,122
66,66,WEA_S5-8,305994.0,6021787.3,90.0,122
67,67,WEA_S5-7,306050.6,6022669.7,90.0,122
68,68,WEA_S5-6,306086.8,6023520.0,90.0,122
69,69,WEA_S5-5,306123.0,6024370.3,90.0,122
70,70,WEA_S5-4,306158.2,6025220.6,90.0,122
71,71,WEA_S1-5,305126.8,6021740.9,90.0,122
72,72,WEA_S5-2,306230.6,6026922.2,90.0,122
73,73,WEA_S5-1,306266.9,6027772.4,90.0,122
74,74,WEA_N5-1,306303.1,6028622.7,90.0,122
75,75,WEA_N5-2,306338.4,6029474.1,90.0,122
76,76,WEA_N5-3,306374.6,6030324.3,90.0,122
77,77,WEA_N5-4,306410.8,6031174.6,90.0,122
78,78,WEA_N4-4,306447.1,6032024.9,90.0,122
79,79,WEA_S5-3,306194.4,6026071.9,90.0,122
