,ind,name,x,y,h,D
0,0,R23,332075.1,5951402.8,90.0,120
1,1,R22,331531.8,5951293.8,90.0,120
2,2,R21,330988.6,5951184.8,90.0,120
3,3,R20,335759.7,5952752.7,90.0,120
4,4,R19,335216.5,5952643.7,90.0,120
5,5,R11,330870.7,5951772.1,90.0,120
6,6,R16,333586.8,5952316.9,90.0,120
7,7,R17,334130.0,5952425.8,90.0,120
8,8,R15,333043.6,5952207.9,90.0,120
9,9,R14,332500.4,5952099.0,90.0,120
10,10,R13,331957.1,5951990.0,90.0,120
11,11,R24,332618.3,5951511.7,90.0,120
12,12,R12,331413.9,5951881.1,90.0,120
13,13,R18,334673.3,5952534.8,90.0,120
14,14,R25,333161.5,5951620.6,90.0,120
15,15,R06,333468.9,5952904.1,90.0,120
16,16,R27,334248.0,5951838.6,90.0,120
17,17,R28,334791.2,5951947.5,90.0,120
18,18,R29,335334.4,5952056.5,90.0,120
19,19,R30,335876.7,5952170.2,90.0,120
20,20,R08,334555.3,5953122.0,90.0,120
21,21,R07,334012.1,5953013.1,90.0,120
22,22,R05,332925.6,5952795.2,90.0,120
23,23,R04,332382.4,5952686.2,90.0,120
24,24,R03,331839.2,5952577.3,90.0,120
25,25,R02,331295.9,5952466.3,90.0,120
26,26,R01,330752.7,5952359.4,90.0,120
27,27,R10,335641.8,5953340.0,90.0,120
28,28,R26,333704.8,5951729.6,90.0,120
29,29,R09,335098.5,5953231.0,90.0,120
