,ind,name,x,y,h,D
0,0,BR1-42,339965.5,5983401.2,89.0,120
1,1,BR1-43,339941.0,5982654.3,89.0,120
2,2,BR1-44,339914.2,5981902.6,89.0,120
3,3,BR1-45,339890.1,5981152.1,89.0,120
4,4,BR1-46,339864.5,5980404.4,89.0,120
5,5,BR1-47,339838.3,5979653.7,89.0,120
6,6,BR1-48,340766.1,5984874.0,89.0,120
7,7,BR1-49,340739.9,5984126.3,89.0,120
8,8,BR1-50,340714.5,5983375.6,89.0,120
9,9,BR1-51,340690.6,5982626.9,89.0,120
10,10,BR1-52,340664.4,5981876.8,89.0,120
11,11,BR1-53,340638.8,5981126.2,89.0,120
12,12,BR1-54,340613.2,5980378.2,89.0,120
13,13,BR1-55,340587.6,5979628.4,89.0,120
14,14,BR1-57,341464.5,5983349.8,89.0,120
15,15,BR1-41,339991.8,5984152.0,89.0,120
16,16,BR1-40,340017.8,5984899.6,89.0,120
17,17,BR1-39,340041.5,5985650.8,89.0,120
18,18,BR1-38,339089.4,5979678.5,89.0,120
19,19,BR1-22,338543.4,5985702.4,89.0,120
20,20,BR1-23,338517.4,5984951.6,89.0,120
21,21,BR1-24,338492.5,5984200.8,89.0,120
22,22,BR1-25,338466.4,5983453.5,89.0,120
23,23,BR1-26,338440.6,5982702.1,89.0,120
24,24,BR1-27,338416.5,5981954.8,89.0,120
25,25,BR1-28,338390.3,5981204.0,89.0,120
26,26,BR1-58,341439.2,5982602.3,89.0,120
27,27,BR1-29,338364.1,5980452.9,89.0,120
28,28,BR1-31,339267.1,5984925.6,89.0,120
29,29,BR1-32,339241.9,5984177.7,89.0,120
30,30,BR1-33,339215.2,5983427.8,89.0,120
31,31,BR1-34,339191.1,5982676.3,89.0,120
32,32,BR1-35,339165.3,5981928.7,89.0,120
33,33,BR1-36,339139.1,5981177.9,89.0,120
34,34,BR1-37,339115.2,5980430.2,89.0,120
35,35,BR1-30,339293.4,5985676.3,89.0,120
36,36,BR1-59,341414.0,5981850.9,89.0,120
37,37,BR1-56,341490.4,5984100.6,89.0,120
38,38,BR1-61,341362.7,5980352.3,89.0,120
39,39,BR1-16,337768.7,5984977.8,89.0,120
40,40,BR1-60,341388.0,5981100.5,89.0,120
41,41,BR1-14,336916.7,5982004.5,89.0,120
42,42,BR1-13,336941.2,5982754.4,89.0,120
43,43,BR1-12,336968.0,5983502.4,89.0,120
44,44,BR1-11,336991.9,5984253.3,89.0,120
45,45,BR1-10,337018.4,5985000.7,89.0,120
46,46,BR1-9,337043.4,5985752.0,89.0,120
47,47,BR1-8,336192.8,5982777.9,89.0,120
48,48,BR1-7,336217.3,5983529.3,89.0,120
49,49,BR1-6,336243.7,5984279.3,89.0,120
50,50,BR1-5,336268.2,5985027.2,89.0,120
51,51,BR1-4,336294.7,5985778.0,89.0,120
52,52,BR1-3,335467.9,5983555.2,89.0,120
53,53,BR1-2,335493.3,5984303.3,89.0,120
54,54,BR1-1,335519.5,5985053.7,89.0,120
55,55,BR1-0,335544.5,5985801.5,89.0,120
56,56,BR1-17,337742.3,5984227.1,89.0,120
57,57,BR1-18,337716.6,5983479.5,89.0,120
58,58,BR1-15,337792.5,5985725.3,89.0,120
59,59,BR1-20,337665.5,5981978.0,89.0,120
60,60,BR1-62,341337.0,5979602.2,89.0,120
61,61,BR1-63,342215.4,5983324.1,89.0,120
62,62,BR1-64,342189.7,5982576.6,89.0,120
63,63,BR1-19,337692.0,5982727.9,89.0,120
64,64,BR1-66,342138.9,5981078.3,89.0,120
65,65,BR1-67,342113.2,5980327.4,89.0,120
66,66,BR1-68,342088.1,5979577.0,89.0,120
67,67,BR1-69,342938.3,5982551.5,89.0,120
68,68,BR1-65,342164.3,5981825.3,89.0,120
69,69,BR1-71,342888.1,5981052.8,89.0,120
70,70,BR1-72,342862.5,5980301.9,89.0,120
71,71,BR1-73,342837.1,5979551.1,89.0,120
72,72,BR1-74,343661.9,5981774.4,89.0,120
73,73,BR1-75,343636.5,5981024.4,89.0,120
74,74,BR1-76,343611.8,5980276.9,89.0,120
75,75,BR1-77,343586.4,5979525.9,89.0,120
76,76,BR1-21,337641.0,5981230.0,89.0,120
77,77,BR1-70,342913.5,5981799.5,89.0,120
