,ind,name,x,y,h,D
0,0,DT36,387255.0,6110744.0,88.0,120
1,1,DT50,384816.2,6120461.6,88.0,120
2,2,DT57,385811.0,6113590.1,88.0,120
3,3,DT17,383813.2,6118425.6,88.0,120
4,4,DT74,384357.9,6110102.1,88.0,120
5,5,DT31,386731.9,6115314.0,88.0,120
6,6,DT76,384723.4,6108462.9,88.0,120
7,7,DT48,384153.9,6103427.8,88.0,120
8,8,DT43,388041.9,6104455.1,88.0,120
9,9,DT29,386511.9,6117208.9,88.0,120
10,10,DT69,386753.8,6104473.1,88.0,120
11,11,DT10,383293.9,6112470.2,88.0,120
12,12,DT24,385443.2,6121777.5,88.0,120
13,13,DT55,385531.5,6115584.2,88.0,120
14,14,DT19,383605.9,6120059.3,88.0,120
15,15,DT38,387483.0,6108984.9,88.0,120
16,16,DT12,383302.9,6114087.1,88.0,120
17,17,DT05,383269.2,6107810.8,88.0,120
18,18,DT34,387074.8,6112473.0,88.0,120
19,19,DT58,385918.8,6112580.0,88.0,120
20,20,DT02,383491.8,6104727.9,88.0,120
21,21,DT22,383657.9,6122419.8,88.0,120
22,22,DT39,387580.9,6108170.0,88.0,120
23,23,DT79,384397.9,6106617.6,88.0,120
24,24,DT53,385266.9,6117477.9,88.0,120
25,25,DT77,384778.8,6107669.9,88.0,120
26,26,DT20,383503.3,6120874.6,88.0,120
27,27,DT62,386070.9,6110482.8,88.0,120
28,28,DT65,384517.1,6121337.4,88.0,120
29,29,DT72,384540.0,6111645.8,88.0,120
30,30,DT60,385505.9,6105454.8,88.0,120
31,31,DT03,383959.0,6105540.1,88.0,120
32,32,DT67,386766.0,6106409.8,88.0,120
33,33,DT27,386278.9,6119112.2,88.0,120
34,34,DT01,383427.9,6103834.0,88.0,120
35,35,DT41,387808.9,6106323.0,88.0,120
36,36,DT08,383280.0,6110548.7,88.0,120
37,37,DT59,385973.0,6111537.0,88.0,120
38,38,DT44,387658.0,6103672.8,88.0,120
39,39,DT16,384018.9,6116792.8,88.0,120
40,40,DT13,384259.0,6114201.8,88.0,120
41,41,DT37,383916.2,6117608.9,88.0,120
42,42,DT68,386745.0,6105346.0,88.0,120
43,43,DT51,385058.5,6119500.1,88.0,120
44,44,DT11,383292.0,6113426.1,88.0,120
45,45,DT25,386046.9,6121041.1,88.0,120
46,46,DT32,386849.0,6114375.9,88.0,120
47,47,DT49,384554.0,6104490.9,88.0,120
48,48,DT63,386208.1,6109490.9,88.0,120
49,49,DT06,383279.9,6108690.9,88.0,120
50,50,DT80,384346.9,6105065.9,88.0,120
51,51,DT23,384619.2,6122094.0,88.0,120
52,52,DT04,383246.9,6106746.9,88.0,120
53,53,DT73,384615.8,6110841.9,88.0,120
54,54,DT61,385549.8,6104237.9,88.0,120
55,55,DT75,384783.2,6109214.9,88.0,120
56,56,DT18,383708.9,6119241.9,88.0,120
57,57,DT30,386621.8,6116258.0,88.0,120
58,58,DT70,384366.0,6113329.0,88.0,120
59,59,DT15,384122.0,6115976.1,88.0,120
60,60,DT42,387916.8,6105283.1,88.0,120
61,61,DT56,385701.9,6114649.9,88.0,120
62,62,DT33,386973.0,6113424.0,88.0,120
63,63,DT14,384231.0,6115164.1,88.0,120
64,64,DT54,385413.0,6116533.2,88.0,120
65,65,DT71,384452.9,6112525.1,88.0,120
66,66,DT45,386817.9,6103606.8,88.0,120
67,67,DT28,386387.8,6118161.1,88.0,120
68,68,DT52,385114.1,6118459.9,88.0,120
69,69,DT09,383282.0,6111509.2,88.0,120
70,70,DT66,386244.7,6107551.0,88.0,120
71,71,DT26,386168.8,6120069.9,88.0,120
72,72,DT40,387689.9,6107420.2,88.0,120
73,73,DT46,385943.0,6103552.9,88.0,120
74,74,DT35,387168.0,6111570.0,88.0,120
75,75,DT21,383433.2,6121830.8,88.0,120
76,76,DT78,385506.0,6106507.9,88.0,120
77,77,DT64,386269.9,6108474.0,88.0,120
78,78,DT07,383291.0,6109593.0,88.0,120
79,79,DT47,385048.9,6103495.1,88.0,120
