,ind,name,x,y,h,D
0,0,DBU10,289555.5,6022617.1,108.0,164
1,1,DBU14,289934.1,6022097.3,108.0,164
2,2,DBU13,291702.2,6023233.7,108.0,164
3,3,DBU12,292435.9,6023637.0,108.0,164
4,4,DBU11,288634.3,6021804.4,108.0,164
5,5,DBU09,290312.4,6022978.2,108.0,164
6,6,DBU01,293065.9,6025628.9,108.0,164
7,7,DBU07,292515.0,6024443.2,108.0,164
8,8,DBU06,288171.1,6022249.2,108.0,164
9,9,DBU05,288935.3,6022833.2,108.0,164
10,10,DBU03,290601.8,6023937.3,108.0,164
11,11,DBU02,292244.9,6025061.8,108.0,164
12,12,DBU15,289225.3,6021553.5,108.0,164
13,13,DBU08,291801.1,6024001.5,108.0,164
14,14,DBU16,293009.6,6023049.8,108.0,164
15,15,DBU04,289769.7,6023383.0,108.0,164
16,16,DBU18,291393.9,6022488.4,108.0,164
17,17,DBU17,292174.9,6022813.2,108.0,164
18,18,DBU30,291638.5,6019355.2,108.0,164
19,19,DBU29,292296.5,6019836.4,108.0,164
20,20,DBU28,292953.5,6020450.3,108.0,164
21,21,DBU27,291199.4,6019826.0,108.0,164
22,22,DBU26,292264.0,6020637.0,108.0,164
23,23,DBU31,292135.5,6018942.8,108.0,164
24,24,DBU24,291941.6,6021182.3,108.0,164
25,25,DBU23,290139.0,6020586.0,108.0,164
26,26,DBU22,291413.9,6021720.3,108.0,164
27,27,DBU21,292194.0,6021948.3,108.0,164
28,28,DBU20,289640.0,6020982.0,108.0,164
29,29,DBU25,291320.2,6020569.2,108.0,164
30,30,DBU19,290346.2,6021395.3,108.0,164
