index,id,name,x,y,h,D
0,0,T0,301203.27267834556,6033718.895843812,150.0,290.0
1,1,T1,298883.27267834556,6032558.895843812,150.0,290.0
2,2,T2,311451.5272502811,6022055.931065618,150.0,290.0
3,3,T3,287283.27267834556,6029948.895843812,150.0,290.0
4,4,T4,312774.5649718259,6028885.095744495,150.0,290.0
5,5,T5,300913.27267834556,6036328.895843812,150.0,290.0
6,6,T6,310348.97624301596,6016074.214193485,150.0,290.0
7,7,T7,288443.27267834556,6026468.895843812,150.0,290.0
8,8,T8,297433.27267834556,6031398.895843812,150.0,290.0
9,9,T9,310166.20384369045,6018346.835452416,150.0,290.0
10,10,T10,292503.27267834556,6028498.895843812,150.0,290.0
11,11,T11,311904.5649718259,6023665.095744495,150.0,290.0
12,12,T12,304103.27267834556,6039808.895843812,150.0,290.0
13,13,T13,288733.27267834556,6031108.895843812,150.0,290.0
14,14,T14,307391.5272502811,6025535.931065618,150.0,290.0
15,15,T15,307844.5649718259,6027435.095744495,150.0,290.0
16,16,T16,302943.27267834556,6037198.895843812,150.0,290.0
17,17,T17,307873.27267834556,6034878.895843812,150.0,290.0
18,18,T18,297143.27267834556,6036328.895843812,150.0,290.0
19,19,T19,308453.27267834556,6042708.895843812,150.0,290.0
20,20,T20,288733.27267834556,6028788.895843812,150.0,290.0
21,21,T21,299173.27267834556,6037778.895843812,150.0,290.0
22,22,T22,307583.27267834556,6040678.895843812,150.0,290.0
23,23,T23,290183.27267834556,6027048.895843812,150.0,290.0
24,24,T24,282643.27267834556,6026758.895843812,150.0,290.0
25,25,T25,312774.5649718259,6031785.095744495,150.0,290.0
26,26,T26,294243.27267834556,6031688.895843812,150.0,290.0
27,27,T27,313093.27267834556,6036908.895843812,150.0,290.0
28,28,T28,304103.27267834556,6035748.895843812,150.0,290.0
29,29,T29,311933.27267834556,6035458.895843812,150.0,290.0
30,30,T30,306133.27267834556,6039518.895843812,150.0,290.0
31,31,T31,310454.5649718259,6027725.095744495,150.0,290.0
32,32,T32,302363.27267834556,6039518.895843812,150.0,290.0
33,33,T33,309294.5649718259,6026275.095744495,150.0,290.0
34,34,T34,302363.27267834556,6035168.895843812,150.0,290.0
35,35,T35,297143.27267834556,6034008.895843812,150.0,290.0
36,36,T36,285543.27267834556,6029078.895843812,150.0,290.0
37,37,T37,308136.20384369045,6018636.835452416,150.0,290.0
38,38,T38,285253.27267834556,6027048.895843812,150.0,290.0
39,39,T39,311616.20384369045,6019506.835452416,150.0,290.0
40,40,T40,290763.27267834556,6028788.895843812,150.0,290.0
41,41,T41,292793.27267834556,6030528.895843812,150.0,290.0
42,42,T42,311063.27267834556,6033718.895843812,150.0,290.0
