index,id,name,x,y,h,D
0,0,T0,322005.14905214496,6025928.228151031,150.0,240.0
1,1,T1,319365.14905214496,6023768.228151031,150.0,240.0
2,2,T2,315285.14905214496,6031688.228151031,150.0,240.0
3,3,T3,316965.14905214496,6032168.228151031,150.0,240.0
4,4,T4,318885.14905214496,6028088.228151031,150.0,240.0
5,5,T5,320085.14905214496,6028328.228151031,150.0,240.0
6,6,T6,314085.14905214496,6032408.228151031,150.0,240.0
7,7,T7,314085.14905214496,6024968.228151031,150.0,240.0
8,8,T8,323685.14905214496,6023768.228151031,150.0,240.0
9,9,T9,315045.14905214496,6024968.228151031,150.0,240.0
10,10,T10,313845.14905214496,6027848.228151031,150.0,240.0
11,11,T11,317445.14905214496,6024968.228151031,150.0,240.0
12,12,T12,314805.14905214496,6024008.228151031,150.0,240.0
13,13,T13,317205.14905214496,6026168.228151031,150.0,240.0
14,14,T14,313845.14905214496,6024008.228151031,150.0,240.0
15,15,T15,313845.14905214496,6025928.228151031,150.0,240.0
16,16,T16,313845.14905214496,6028808.228151031,150.0,240.0
17,17,T17,315765.14905214496,6025688.228151031,150.0,240.0
18,18,T18,318165.14905214496,6029048.228151031,150.0,240.0
19,19,T19,314085.14905214496,6031208.228151031,150.0,240.0
20,20,T20,320805.14905214496,6023768.228151031,150.0,240.0
21,21,T21,320565.14905214496,6025928.228151031,150.0,240.0
22,22,T22,319365.14905214496,6025688.228151031,150.0,240.0
23,23,T23,317925.14905214496,6023768.228151031,150.0,240.0
24,24,T24,321285.14905214496,6026888.228151031,150.0,240.0
25,25,T25,318405.14905214496,6026888.228151031,150.0,240.0
26,26,T26,322005.14905214496,6024008.228151031,150.0,240.0
27,27,T27,315045.14905214496,6029288.228151031,150.0,240.0
28,28,T28,318645.14905214496,6024728.228151031,150.0,240.0
29,29,T29,316485.14905214496,6030968.228151031,150.0,240.0
30,30,T30,315045.14905214496,6033128.228151031,150.0,240.0
31,31,T31,316725.14905214496,6024008.228151031,150.0,240.0
32,32,T32,317205.14905214496,6030008.228151031,150.0,240.0
33,33,T33,315765.14905214496,6033848.228151031,150.0,240.0
34,34,T34,319605.14905214496,6026888.228151031,150.0,240.0
35,35,T35,322965.14905214496,6024728.228151031,150.0,240.0
36,36,T36,317205.14905214496,6027368.228151031,150.0,240.0
37,37,T37,318165.14905214496,6025688.228151031,150.0,240.0
38,38,T38,316005.14905214496,6027848.228151031,150.0,240.0
39,39,T39,314805.14905214496,6034808.228151031,150.0,240.0
40,40,T40,316485.14905214496,6024968.228151031,150.0,240.0
41,41,T41,318405.14905214496,6030248.228151031,150.0,240.0
42,42,T42,321285.14905214496,6024968.228151031,150.0,240.0
43,43,T43,315045.14905214496,6030488.228151031,150.0,240.0
44,44,T44,316245.14905214496,6026648.228151031,150.0,240.0
45,45,T45,316005.14905214496,6032648.228151031,150.0,240.0
46,46,T46,314085.14905214496,6033848.228151031,150.0,240.0
47,47,T47,319365.14905214496,6029288.228151031,150.0,240.0
48,48,T48,317685.14905214496,6031208.228151031,150.0,240.0
49,49,T49,317205.14905214496,6028568.228151031,150.0,240.0
50,50,T50,314805.14905214496,6026168.228151031,150.0,240.0
51,51,T51,316245.14905214496,6029048.228151031,150.0,240.0
52,52,T52,314085.14905214496,6026888.228151031,150.0,240.0
53,53,T53,315045.14905214496,6027128.228151031,150.0,240.0
54,54,T54,314805.14905214496,6028088.228151031,150.0,240.0
55,55,T55,314085.14905214496,6035768.228151031,150.0,240.0
56,56,T56,316005.14905214496,6030008.228151031,150.0,240.0
57,57,T57,314085.14905214496,6030008.228151031,150.0,240.0
58,58,T58,315765.14905214496,6024248.228151031,150.0,240.0
59,59,T59,320085.14905214496,6024728.228151031,150.0,240.0
