,ind,name,x,y,h,D
0,0,GT-29,332160.0,6044753.0,92.0,116
1,1,GT-14,331433.6,6046142.7,92.0,116
2,2,GT-78,330994.4,6038694.5,92.0,116
3,3,GT-77,330183.9,6038725.8,92.0,116
4,4,GT-76,329374.0,6038756.4,92.0,116
5,5,GT-75,330699.6,6039365.4,92.0,116
6,6,GT-74,329750.0,6039403.3,92.0,116
7,7,GT-73,328800.8,6039440.2,92.0,116
8,8,GT-27,330252.2,6044827.5,92.0,116
9,9,GT-72,331011.7,6040034.4,92.0,116
10,10,GT-79,329978.6,6038052.9,92.0,116
11,11,GT-26,329298.1,6044862.5,92.0,116
12,12,GT-09,326487.3,6046332.1,92.0,116
13,13,GT-24,327391.0,6044935.4,92.0,116
14,14,GT-06,331024.6,6046839.2,92.0,116
15,15,GT-07,331927.4,6046804.0,92.0,116
16,16,GT-08,332828.3,6046770.4,92.0,116
17,17,GT-71,330081.8,6040069.2,92.0,116
18,18,GT-10,327476.2,6046294.1,92.0,116
19,19,GT-11,328465.8,6046256.7,92.0,116
20,20,GT-12,329455.3,6046218.9,92.0,116
21,21,GT-13,330444.6,6046180.1,92.0,116
22,22,GT-15,332423.7,6046104.4,92.0,116
23,23,GT-16,326474.8,6045652.0,92.0,116
24,24,GT-17,327464.6,6045613.6,92.0,116
25,25,GT-18,328453.2,6045576.1,92.0,116
26,26,GT-19,329442.0,6045537.6,92.0,116
27,27,GT-20,330432.2,6045500.7,92.0,116
28,28,GT-21,331421.4,6045462.7,92.0,116
29,29,GT-22,332410.4,6045424.1,92.0,116
30,30,GT-23,326435.7,6044973.1,92.0,116
31,31,GT-25,328344.3,6044899.9,92.0,116
32,32,GT-70,329152.8,6040105.6,92.0,116
33,33,GT-54,329025.4,6042151.0,92.0,116
34,34,GT-68,331240.2,6040705.8,92.0,116
35,35,GT-46,328164.2,6042855.8,92.0,116
36,36,GT-45,327264.5,6042890.4,92.0,116
37,37,GT-44,326365.6,6042924.1,92.0,116
38,38,GT-43,331909.9,6043402.0,92.0,116
39,39,GT-42,330989.8,6043437.1,92.0,116
40,40,GT-41,330070.5,6043472.1,92.0,116
41,41,GT-40,329152.8,6043508.4,92.0,116
42,42,GT-39,328231.9,6043543.9,92.0,116
43,43,GT-38,327313.3,6043579.3,92.0,116
44,44,GT-37,326394.1,6043613.4,92.0,116
45,45,GT-36,332050.3,6044076.8,92.0,116
46,46,GT-35,331110.9,6044113.5,92.0,116
47,47,GT-34,330170.7,6044149.1,92.0,116
48,48,GT-33,329232.1,6044184.9,92.0,116
49,49,GT-32,328292.3,6044221.1,92.0,116
50,50,GT-31,327352.9,6044256.6,92.0,116
51,51,GT-30,326413.0,6044294.2,92.0,116
52,52,GT-47,329063.6,6042820.6,92.0,116
53,53,GT-69,328224.5,6040141.4,92.0,116
54,54,GT-48,329962.9,6042786.0,92.0,116
55,55,GT-50,331762.3,6042717.4,92.0,116
56,56,GT-67,330358.6,6040740.2,92.0,116
57,57,GT-66,329448.9,6040774.7,92.0,116
58,58,GT-65,328539.8,6040809.0,92.0,116
59,59,GT-64,327631.0,6040843.3,92.0,116
60,60,GT-63,331490.9,6041376.9,92.0,116
61,61,GT-62,330556.5,6041412.2,92.0,116
62,62,GT-61,329676.7,6041445.4,92.0,116
63,63,GT-60,328797.9,6041479.2,92.0,116
64,64,GT-59,327917.0,6041513.3,92.0,116
65,65,GT-58,327039.2,6041548.3,92.0,116
66,66,GT-57,331663.7,6042051.2,92.0,116
67,67,GT-56,330744.8,6042086.9,92.0,116
68,68,GT-55,329884.6,6042118.7,92.0,116
69,69,GT-05,330123.2,6046873.8,92.0,116
70,70,GT-53,328165.7,6042185.5,92.0,116
71,71,GT-52,327307.1,6042216.5,92.0,116
72,72,GT-51,326446.9,6042250.7,92.0,116
73,73,GT-49,330862.2,6042750.6,92.0,116
74,74,GT-04,329221.9,6046908.0,92.0,116
75,75,GT-28,331207.1,6044789.7,92.0,116
76,76,GT-02,327417.6,6046976.9,92.0,116
77,77,GT-01,326514.2,6047011.7,92.0,116
78,78,GT-03,328319.8,6046943.2,92.0,116
79,79,GT-80,330840.3,6038020.1,92.0,116
