,ind,name,x,y,h,D
0,0,GW2-23,368822.0,5993609.0,112.0,154
1,1,GW2-22,368114.5,5994287.3,112.0,154
2,2,GW2-21,367440.9,5994999.2,112.0,154
3,3,GW2-20,366767.3,5995711.0,112.0,154
4,4,GW2-19,371638.0,5992229.0,112.0,154
5,5,GW2-18,370956.0,5992932.0,112.0,154
6,6,GW2-17,370207.0,5993572.0,112.0,154
7,7,GW2-16,369499.8,5994249.0,112.0,154
8,8,GW2-15,368826.2,5994960.9,112.0,154
9,9,GW2-24,369529.0,5992933.0,112.0,154
10,10,GW2-14,368152.7,5995672.8,112.0,154
11,11,GW2-12,371648.1,5993583.4,112.0,154
12,12,GW2-11,370885.2,5994210.8,112.0,154
13,13,GW2-10,370211.7,5994922.7,112.0,154
14,14,GW2-9,369533.0,5995629.6,112.0,154
15,15,GW2-8,373033.5,5993545.2,112.0,154
16,16,GW2-7,372359.9,5994257.1,112.0,154
17,17,GW2-6,371595.8,5994885.7,112.0,154
18,18,GW2-5,370923.5,5995596.3,112.0,154
19,19,GW2-4,373745.3,5994218.9,112.0,154
20,20,GW2-13,372321.7,5992871.7,112.0,154
21,21,GW2-25,370264.0,5992280.0,112.0,154
22,22,GW2-26,370955.0,5991585.0,112.0,154
23,23,GW2-27,365381.9,5995749.2,112.0,154
24,24,GW2-41,369586.8,5990297.7,112.0,154
25,25,GW2-40,368879.8,5990975.2,112.0,154
26,26,GW2-39,368172.0,5991654.1,112.0,154
27,27,GW2-38,367465.8,5992330.2,112.0,154
28,28,GW2-37,366867.6,5992903.4,112.0,154
29,29,GW2-36,366485.5,5993546.3,112.0,154
30,30,GW2-35,365343.6,5994363.8,112.0,154
31,31,GW2-34,370271.0,5990942.1,112.0,154
32,32,GW2-33,369572.0,5991627.0,112.0,154
33,33,GW2-32,368850.0,5992293.0,112.0,154
34,34,GW2-31,368144.0,5992970.0,112.0,154
35,35,GW2-30,367437.0,5993647.0,112.0,154
36,36,GW2-29,366729.0,5994325.7,112.0,154
37,37,GW2-28,366055.5,5995037.4,112.0,154
38,38,GW2-3,373071.7,5994930.6,112.0,154
39,39,GW2-2,372314.1,5995562.9,112.0,154
40,40,GW2-0,373783.6,5995604.3,112.0,154
41,41,GW2-1,374457.1,5994892.4,112.0,154
