,ind,name,x,y,h,D
0,0,MO46,340682.7,5993336.5,102.0,151
1,1,MO47,340685.6,5994161.5,102.0,151
2,2,MO37,339879.5,5996222.4,102.0,151
3,3,MO48,340688.6,5994986.5,102.0,151
4,4,MO45,340682.2,5992511.5,102.0,151
5,5,MO44,340682.2,5991686.6,102.0,151
6,6,MO38,340659.3,5986736.7,102.0,151
7,7,MO42,340671.0,5990036.6,102.0,151
8,8,MO41,340672.4,5989211.6,102.0,151
9,9,MO40,340665.9,5988386.6,102.0,151
10,10,MO39,340662.2,5987561.6,102.0,151
11,11,MO49,340691.5,5995811.5,102.0,151
12,12,MO43,340673.9,5990861.6,102.0,151
13,13,MO50,341493.2,5990467.9,102.0,151
14,14,MO65,344062.8,5990191.0,102.0,151
15,15,MO52,341494.3,5992150.9,102.0,151
16,16,MO54,341495.3,5993833.9,102.0,151
17,17,MOSS,341495.9,5994675.4,102.0,151
18,18,MO56,342310.4,5990251.2,102.0,151
19,19,MO57,342310.5,5991067.4,102.0,151
20,20,MO58,342310.7,5991883.6,102.0,151
21,21,MO59,342310.8,5992699.8,102.0,151
22,22,MO60,342310.9,5993516.1,102.0,151
23,23,MO61,343225.6,5990213.4,102.0,151
24,24,MO62,343241.3,5991029.5,102.0,151
25,25,MO63,343520.9,5991770.1,102.0,151
26,26,MO64,343021.1,5992466.8,102.0,151
27,27,MO66,344091.4,5990985.3,102.0,151
28,28,MO36,339877.1,5995366.5,102.0,151
29,29,MO51,341493.8,5991309.4,102.0,151
30,30,MO35,339874.6,5994500.6,102.0,151
31,31,MO53,341494.8,5992992.4,102.0,151
32,32,MO33,339874.1,5992769.0,102.0,151
33,33,MO14,338209.6,5991209.1,102.0,151
34,34,MO13,338208.8,5990274.1,102.0,151
35,35,MO12,338208.7,5989391.6,102.0,151
36,36,MO11,338064.2,5988036.5,102.0,151
37,37,MO09,337367.8,5991169.6,102.0,151
38,38,MO08,337364.7,5990249.4,102.0,151
39,39,MO15,338209.7,5992091.6,102.0,151
40,40,MO07,337264.5,5988893.3,102.0,151
41,41,MO05,337259.7,5987216.7,102.0,151
42,42,MO04,336479.5,5989727.9,102.0,151
43,43,MO03,336465.8,5988907.1,102.0,151
44,44,MO02,336463.9,5988073.6,102.0,151
45,45,MO01,336462.0,5987240.0,102.0,151
46,46,MO34,339876.2,5993634.9,102.0,151
47,47,MO06,337262.1,5988055.0,102.0,151
48,48,MO16,338210.0,5992908.5,102.0,151
49,49,MO10,338062.4,5987193.3,102.0,151
50,50,MO31,339875.5,5991053.3,102.0,151
51,51,MO32,339871.7,5991903.0,102.0,151
52,52,MO17,338862.7,5987189.1,102.0,151
53,53,MO30,339862.9,5990155.2,102.0,151
54,54,MO29,339860.3,5988439.4,102.0,151
55,55,MO28,339849.1,5987573.5,102.0,151
56,56,MO27,339078.3,5996231.7,102.0,151
57,57,MO25,339077.4,5994527.2,102.0,151
58,58,MO26,339077.1,5995376.5,102.0,151
59,59,MO23,339043.5,5992842.3,102.0,151
60,60,MO22,339043.9,5991993.1,102.0,151
61,61,MO21,339044.5,5991161.4,102.0,151
62,62,MO20,339044.3,5990277.1,102.0,151
63,63,MO19,339044.9,5989445.4,102.0,151
64,64,MO18,339044.8,5988558.7,102.0,151
65,65,MO24,339043.2,5993691.6,102.0,151
