index,id,name,x,y,h,D
0,0,T0,336712.9193262162,6102299.0314481445,150.0,290.0
1,1,T1,337292.9193262162,6099399.0314481445,150.0,290.0
2,2,T2,341352.9193262162,6116799.0314481445,150.0,290.0
3,3,T3,334392.9193262162,6112159.0314481445,150.0,290.0
4,4,T4,337002.9193262162,6103749.0314481445,150.0,290.0
5,5,T5,337292.9193262162,6109839.0314481445,150.0,290.0
6,6,T6,335552.9193262162,6109259.0314481445,150.0,290.0
7,7,T7,337872.9193262162,6117669.0314481445,150.0,290.0
8,8,T8,339612.9193262162,6105489.0314481445,150.0,290.0
9,9,T9,330912.9193262162,6115349.0314481445,150.0,290.0
10,10,T10,339032.9193262162,6115639.0314481445,150.0,290.0
11,11,T11,340482.9193262162,6119989.0314481445,150.0,290.0
12,12,T12,337582.9193262162,6111579.0314481445,150.0,290.0
13,13,T13,336132.9193262162,6110999.0314481445,150.0,290.0
14,14,T14,344252.9193262162,6105779.0314481445,150.0,290.0
15,15,T15,338162.9193262162,6102589.0314481445,150.0,290.0
16,16,T16,335262.9193262162,6102589.0314481445,150.0,290.0
17,17,T17,337292.9193262162,6119119.0314481445,150.0,290.0
18,18,T18,342512.9193262162,6106649.0314481445,150.0,290.0
19,19,T19,343672.9193262162,6103169.0314481445,150.0,290.0
20,20,T20,334972.9193262162,6107809.0314481445,150.0,290.0
21,21,T21,334102.9193262162,6115639.0314481445,150.0,290.0
22,22,T22,338742.9193262162,6110419.0314481445,150.0,290.0
23,23,T23,339322.9193262162,6101429.0314481445,150.0,290.0
24,24,T24,331782.9193262162,6113899.0314481445,150.0,290.0
25,25,T25,339322.9193262162,6111869.0314481445,150.0,290.0
26,26,T26,339612.9193262162,6107229.0314481445,150.0,290.0
27,27,T27,330622.9193262162,6112739.0314481445,150.0,290.0
28,28,T28,332652.9193262162,6116219.0314481445,150.0,290.0
29,29,T29,332362.9193262162,6112449.0314481445,150.0,290.0
