,x,y
0,231705.81,6146364.08
1,232666.93,6145214.65
2,234027.43,6144589.61
3,234401.69,6143139.99
4,235899.70,6143158.58
5,235616.56,6141687.08
6,237089.29,6142249.35
7,236577.68,6140537.65
8,238278.88,6141340.12
9,237925.27,6139885.32
10,239468.47,6140430.88
11,238329.08,6138443.10
12,239735.29,6138956.96
13,254912.67,6118904.38
14,239290.20,6137293.67
15,241227.86,6139086.14
16,260928.94,6128267.66
17,255732.69,6120158.32
18,260120.86,6127006.56
19,256540.77,6121419.42
20,240739.06,6137670.97
21,253952.56,6120054.72
22,259312.78,6125745.46
23,257348.85,6122680.52
24,258504.70,6124484.36
25,240251.32,6136144.24
26,242417.45,6138176.91
27,259433.45,6128337.56
28,255045.28,6121489.33
29,258625.37,6127076.46
30,255853.36,6122750.43
31,257045.60,6124147.93
32,241700.18,6136521.54
33,257817.29,6125815.36
34,252992.45,6121205.06
35,241212.43,6134994.81
36,243607.04,6137267.67
37,253870.14,6122418.05
38,257937.96,6128407.46
39,255550.11,6124217.84
40,256358.19,6125478.94
41,257129.88,6127146.36
42,243051.21,6135876.49
43,251889.76,6122217.75
44,254086.49,6123899.45
45,242173.55,6133845.38
46,244796.64,6136358.44
47,256442.47,6128477.37
48,252639.75,6123513.66
49,255670.78,6126809.94
50,254862.70,6125548.84
51,243538.60,6134460.81
52,250928.36,6123366.92
53,243134.67,6132695.95
54,253399.08,6125230.46
55,244978.97,6134871.99
56,254983.37,6128140.94
57,254175.29,6126879.84
58,251678.35,6124662.83
59,246460.64,6135086.60
60,244499.71,6133311.38
61,249969.37,6124518.28
62,244095.78,6131546.52
63,252711.67,6126561.46
64,254031.33,6129298.59
65,245951.03,6133678.88
66,253223.25,6128037.49
67,250719.37,6125814.19
68,249008.60,6125668.02
69,247650.23,6134177.37
70,245460.83,6132161.95
71,245056.90,6130397.09
72,252842.47,6130208.81
73,251345.37,6127174.24
74,248047.97,6126817.89
75,247140.62,6132769.64
76,248839.82,6133268.14
77,246018.02,6129247.66
78,249758.60,6126963.94
79,252034.39,6128947.71
80,247087.34,6127967.76
81,246421.95,6131012.52
82,251652.88,6131118.05
83,250029.41,6132358.90
84,250611.69,6128479.94
85,248330.21,6131860.41
86,248797.96,6128113.81
87,247383.07,6129863.09
88,250684.40,6129975.29
89,249541.37,6130943.46
90,248858.98,6129609.73
