,x,y
0,333909.8467299811,6048091.476556671
1,332425.4435029579,6049031.123372987
2,314539.276419875,6047330.997970936
3,331443.41160948,6047572.852177071
4,330941.0402759347,6049970.770189303
5,315667.5338657233,6045983.272462287
6,316795.79131157167,6044635.546953638
7,316028.39529572835,6048262.777202491
8,318389.5707702351,6042799.160523824
9,329471.6113646076,6050935.400142031
10,329959.00838245684,6048512.498993387
11,327986.9314842766,6051874.585390188
12,324888.73658905143,6053806.925171959
13,317156.6527415764,6046915.051693842
14,326496.4930246292,6052804.163029188
15,320125.2443327188,6043067.697830786
16,317517.5141715817,6049194.556434046
17,318549.9815471016,6044549.688250813
18,324941.3478070524,6042650.8846912235
19,328489.57947112987,6049477.128946115
20,322531.0117814647,6042629.894505602
21,328401.59454883524,6047697.622271691
22,323399.62163280573,6052875.139400935
23,319006.63304743514,6050126.335665599
24,318797.7767140962,6046288.438619112
25,327004.8995907988,6050416.314194272
26,324929.0179483564,6052010.559017775
27,318845.4850061642,6048044.50306414
28,320285.6551095852,6044818.225557774
29,321910.5027569526,6051943.360169381
30,323724.60024376254,6043918.4074324425
31,326931.71554635954,6048661.501292704
32,321962.64841674175,6044291.860557628
33,320666.4428417978,6050700.725366779
34,324880.1939414989,6045241.356806581
35,325253.0350393785,6050283.115103848
36,323439.89907250315,6051078.779786221
37,320335.8147383777,6048974.262103905
38,320533.4502765798,6046556.975926073
39,325640.49257699534,6047470.902901558
40,323155.1245517272,6045581.381639179
41,322195.8391573484,6049836.1449836185
42,324419.8538089832,6048734.898860393
43,321702.05142239097,6047868.136036472
44,323373.2236503705,6047324.537003103
