,ind,name,x,y,h,D
0,0,BW16,332144.9,5992467.7,104.5,152
1,1,BW19,331835.1,5989225.0,104.5,152
2,2,BW18,331673.9,5990308.0,104.5,152
3,3,BW17,331946.8,5991588.0,104.5,152
4,4,BW11,330944.3,5986749.0,104.5,152
5,5,BW05,330956.0,5992404.8,104.5,152
6,6,BW09,330947.4,5988494.0,104.5,152
7,7,BW07,330953.1,5990588.0,104.5,152
8,8,BW06,330955.1,5991496.8,104.5,152
9,9,BW20,331756.1,5988168.0,104.5,152
10,10,BW10,330945.2,5987572.9,104.5,152
11,11,BW27,333236.2,5992330.9,104.5,152
12,12,BW08,330949.9,5989687.1,104.5,152
13,13,BW29,332382.9,5990916.0,104.5,152
14,14,BW78,337801.1,5994493.0,104.5,152
15,15,BW77,337801.2,5995388.0,104.5,152
16,16,BW76,337817.8,5996249.0,104.5,152
17,17,BW75,337031.2,5992546.9,104.5,152
18,18,BW74,337157.0,5993931.0,104.5,152
19,19,BW28,333080.6,5991488.1,104.5,152
20,20,BW72,336247.2,5991709.9,104.5,152
21,21,BW70,336525.2,5993332.9,104.5,152
22,22,BW73,337090.5,5996260.0,104.5,152
23,23,BW67,336351.5,5996273.4,104.5,152
24,24,BW60,335321.0,5992104.9,104.5,152
25,25,BW71,335899.8,5992744.0,104.5,152
26,26,BW59,335570.8,5993613.2,104.5,152
27,27,BW57,335764.0,5995399.9,104.5,152
28,28,BW56,335584.3,5996275.9,104.5,152
29,29,BW45,334874.0,5996292.6,104.5,152
30,30,BW30,332557.2,5989869.1,104.5,152
31,31,BW68,336753.8,5995452.6,104.5,152
