,ind,name,x,y,h,D
0,0,VM-67,299912.2,6021653.1,103.0,154
1,1,VM-66,300434.1,6030475.5,103.0,154
2,2,VM-63,298892.0,6020141.2,103.0,154
3,3,VM-30,296703.8,6026018.1,103.0,154
4,4,VM-29,296742.9,6026940.4,103.0,154
5,5,VM-28,296249.2,6027755.7,103.0,154
6,6,VM-27,297086.2,6028299.8,103.0,154
7,7,VM-26,295761.7,6018654.7,103.0,154
8,8,VM-25,294992.1,6018687.4,103.0,154
9,9,VM-24,294906.8,6019408.8,103.0,154
10,10,VM-23,295449.0,6020930.1,103.0,154
11,11,VM-22,295485.5,6021785.6,103.0,154
12,12,VM-21,295521.8,6022640.7,103.0,154
13,13,VM-20,295558.2,6023496.2,103.0,154
14,14,VM-19,295594.7,6024351.4,103.0,154
15,15,VM-18,295638.6,6025383.6,103.0,154
16,16,VM-31,296667.3,6025162.6,103.0,154
17,17,VM-17,295679.4,6026338.6,103.0,154
18,18,VM-15,294221.9,6018720.0,103.0,154
19,19,VM-14,294341.7,6020307.0,103.0,154
20,20,VM-13,294435.9,6022056.3,103.0,154
21,21,VM-12,294475.4,6022984.7,103.0,154
22,22,VM-11,294515.0,6023913.1,103.0,154
23,23,VM-10,294554.4,6024841.2,103.0,154
24,24,VM-09,294594.0,6025771.5,103.0,154
25,25,VM-08,294637.0,6026686.7,103.0,154
26,26,VM-07,293467.4,6018752.4,103.0,154
27,27,VM-06,293507.4,6019481.4,103.0,154
28,28,VM-05,293589.7,6020968.2,103.0,154
29,29,VM-04,293673.1,6022455.2,103.0,154
30,30,VM-03,293755.4,6023943.2,103.0,154
31,31,VM-16,295412.3,6027212.3,103.0,154
32,32,VM-32,296630.9,6024307.5,103.0,154
33,33,VM-33,296558.1,6022596.8,103.0,154
34,34,VM-34,296521.6,6021741.3,103.0,154
35,35,VM-64,298858.8,6019218.4,103.0,154
36,36,VM-62,298924.3,6020949.4,103.0,154
37,37,VM-61,298956.7,6021757.7,103.0,154
38,38,VM-60,298989.2,6022566.3,103.0,154
39,39,VM-59,299021.0,6023355.0,103.0,154
40,40,VM-58,299047.0,6024202.0,103.0,154
41,41,VM-57,299086.5,6024991.5,103.0,154
42,42,VM-56,299118.9,6025800.1,103.0,154
43,43,VM-55,299151.3,6026608.4,103.0,154
44,44,VM-54,299183.7,6027417.0,103.0,154
45,45,VM-53,299216.1,6028225.3,103.0,154
46,46,VM-52,298760.2,6029387.5,103.0,154
47,47,VM-51,299597.2,6029931.4,103.0,154
48,48,VM-50,298071.6,6018556.2,103.0,154
49,49,VM-49,297302.3,6018589.2,103.0,154
50,50,VM-48,297658.9,6019979.3,103.0,154
51,51,VM-47,297695.2,6020834.5,103.0,154
52,52,VM-46,297731.6,6021690.0,103.0,154
53,53,VM-45,297768.1,6022545.1,103.0,154
54,54,VM-44,297804.6,6023400.6,103.0,154
55,55,VM-43,297840.8,6024255.8,103.0,154
56,56,VM-42,297877.3,6025111.3,103.0,154
57,57,VM-41,297913.8,6025966.4,103.0,154
58,58,VM-40,297950.3,6026821.9,103.0,154
59,59,VM-39,297987.0,6027681.4,103.0,154
60,60,VM-38,297923.1,6028843.7,103.0,154
61,61,VM-37,296531.9,6018621.7,103.0,154
62,62,VM-36,296446.5,6019343.3,103.0,154
63,63,VM-35,296485.3,6020886.2,103.0,154
64,64,VM-02,293837.8,6025430.3,103.0,154
65,65,VM-01,293878.9,6026160.2,103.0,154
66,66,VM-65,298827.1,6018524.3,103.0,154
