,ind,name,x,y,h,D
0,0,T00,295413.6340362262,5988636.6816961,88.5,130
1,1,T01,295030.2027400019,5989215.260667576,88.5,130
2,2,T02,294637.82416976953,5989806.648614494,88.5,130
3,3,T03,294245.44730408164,5990398.041107245,88.5,130
4,4,T04,293870.88514012017,5990962.831985217,88.5,130
5,5,T05,293494.500896513,5991529.78938906,88.5,130
6,6,T06,293111.0777699635,5992108.39009975,88.5,130
7,7,T07,292727.65627942525,5992686.995153995,88.5,130
8,8,T08,292344.2364251311,5993265.604551134,88.5,130
9,9,T09,291959.82168884506,5993844.303000167,88.5,130
10,10,T10,291576.3203889033,5994421.924564919,88.5,130
11,11,T11,296235.1138966748,5988594.994623362,88.5,130
12,12,T12,295890.1640581415,5989189.369615477,88.5,130
13,13,T13,295544.2198295622,5989783.833318173,88.5,130
14,14,T14,295199.18950448005,5990377.21990977,88.5,130
15,15,T15,294853.24945246184,5990971.691708042,88.5,130
16,16,T16,294421.8472057916,5991564.39746531,88.5,130
17,17,T17,293986.0368890114,5992152.464481708,88.5,130
18,18,T18,293633.78462654684,5992743.471561306,88.5,130
19,19,T19,293282.6155804998,5993335.394537259,88.5,130
20,20,T20,292930.36733964353,5993926.409802644,88.5,130
21,21,T21,292579.20233340986,5994518.340957611,88.5,130
22,22,T22,297056.67190299404,5988554.304417259,88.5,130
23,23,T23,296777.5183168961,5989107.956374215,88.5,130
24,24,T24,296497.4550016271,5989662.6925426265,88.5,130
25,25,T25,296218.3055783956,5990216.350641804,88.5,130
26,26,T26,295939.2429134645,5990771.00828888,88.5,130
27,27,T27,295660.1823393536,5991325.669006763,88.5,130
28,28,T28,295034.6903227284,5991866.616929876,88.5,130
29,29,T29,294744.1632698031,5992416.238248752,88.5,130
30,30,T30,294453.5534874506,5992964.86623147,88.5,130
31,31,T31,294162.0338731314,5993514.578570221,88.5,130
32,32,T32,293871.5127244246,5994064.209366525,88.5,130
33,33,T33,293580.99354648945,5994613.843320011,88.5,130
34,34,T34,295891.9307013836,5991903.163258874,88.5,130
35,35,T35,295630.49369459174,5992464.359571029,88.5,130
36,36,T36,295368.0624602947,5993025.643504338,88.5,130
37,37,T37,295106.6299682102,5993586.845663165,88.5,130
38,38,T38,294845.1997345351,5994148.050741825,88.5,130
39,39,T39,294582.77526635176,5994709.343456686,88.5,130
40,40,T40,297873.1564223425,5988513.041404489,88.5,130
41,41,T41,297629.32408514176,5989080.750415812,88.5,130
42,42,T42,297385.5788368087,5989649.458665854,88.5,130
43,43,T43,297141.83602142497,5990218.169690313,88.5,130
44,44,T44,296898.0109607639,5990785.887016443,88.5,130
45,45,T45,296654.2730053974,5991354.603586154,88.5,130
46,46,T46,296755.2275720757,5991940.197034451,88.5,130
47,47,T47,296521.88368478074,5992513.052766218,88.5,130
48,48,T48,296289.62350437365,5993086.822955388,88.5,130
49,49,T49,296057.2811621502,5993659.599338491,88.5,130
50,50,T50,295824.94135289127,5994232.378390198,88.5,130
51,51,T51,295592.6887938251,5994806.156593134,88.5,130
52,52,T52,298694.6167894562,5988471.35550152,88.5,130
53,53,T53,298465.0229202487,5989112.1205935655,88.5,130
54,54,T54,298234.4359209386,5989752.973329523,88.5,130
55,55,T55,298004.84870896314,5990393.744379818,88.5,130
56,56,T56,297774.2683624929,5991034.60308533,88.5,130
57,57,T57,297628.4953458025,5991681.305166637,88.5,130
58,58,T58,297489.70133742725,5992327.416371048,88.5,130
59,59,T59,297266.36084105266,5992970.679500585,88.5,130
60,60,T60,297042.111968911,5993615.0267139645,88.5,130
61,61,T61,296818.7782539065,5994258.295668833,88.5,130
62,62,T62,296595.44792698044,5994901.567531375,88.5,130
63,63,T63,299516.07064588286,5988429.669990016,88.5,130
64,64,T64,299340.9708789494,5989026.658143582,88.5,130
65,65,T65,299166.87061667355,5989623.563775015,88.5,130
66,66,T66,298992.77341074985,5990220.471538222,88.5,130
67,67,T67,298818.6792609064,5990817.381432782,88.5,130
68,68,T68,298644.5034834399,5991413.297003086,88.5,130
69,69,T69,298468.6765936859,5992013.369905985,88.5,130
70,70,T70,298294.5916192366,5992610.286206516,88.5,130
71,71,T71,298120.5096997799,5993207.204636691,88.5,130
72,72,T72,297946.430835043,5993804.12519608,88.5,130
73,73,T73,297771.27384989464,5994400.136134476,88.5,130
74,74,T74,297597.2010865436,5994997.060955409,88.5,130
