index,id,name,x,y,h,D
0,0,T0,231742.3635851019,6138005.201982378,175.0,290.0
1,1,T1,230292.3635851019,6124375.201982378,175.0,290.0
2,2,T2,233192.3635851019,6132785.201982378,175.0,290.0
3,3,T3,228552.3635851019,6127855.201982378,175.0,290.0
4,4,T4,231452.3635851019,6127275.201982378,175.0,290.0
5,5,T5,230002.3635851019,6132785.201982378,175.0,290.0
6,6,T6,229132.3635851019,6136265.201982378,175.0,290.0
7,7,T7,230582.3635851019,6135685.201982378,175.0,290.0
8,8,T8,231162.3635851019,6136845.201982378,175.0,290.0
9,9,T9,231742.3635851019,6128435.201982378,175.0,290.0
10,10,T10,231742.3635851019,6133075.201982378,175.0,290.0
11,11,T11,229132.3635851019,6134815.201982378,175.0,290.0
12,12,T12,229422.3635851019,6139165.201982378,175.0,290.0
13,13,T13,230872.3635851019,6131915.201982378,175.0,290.0
14,14,T14,232032.3635851019,6131625.201982378,175.0,290.0
15,15,T15,228552.3635851019,6126115.201982378,175.0,290.0
16,16,T16,230292.3635851019,6128725.201982378,175.0,290.0
17,17,T17,232032.3635851019,6123795.201982378,175.0,290.0
18,18,T18,230002.3635851019,6130175.201982378,175.0,290.0
19,19,T19,231452.3635851019,6125535.201982378,175.0,290.0
20,20,T20,232322.3635851019,6122345.201982378,175.0,290.0
21,21,T21,228842.3635851019,6129305.201982378,175.0,290.0
22,22,T22,231452.3635851019,6134525.201982378,175.0,290.0
23,23,T23,229712.3635851019,6137715.201982378,175.0,290.0
24,24,T24,228842.3635851019,6124665.201982378,175.0,290.0
25,25,T25,230872.3635851019,6123215.201982378,175.0,290.0
26,26,T26,228842.3635851019,6130755.201982378,175.0,290.0
27,27,T27,230002.3635851019,6127275.201982378,175.0,290.0
28,28,T28,232902.3635851019,6129595.201982378,175.0,290.0
29,29,T29,232612.3635851019,6124955.201982378,175.0,290.0
30,30,T30,232032.3635851019,6135685.201982378,175.0,290.0
31,31,T31,230872.3635851019,6139165.201982378,175.0,290.0
32,32,T32,233192.3635851019,6131045.201982378,175.0,290.0
33,33,T33,232902.3635851019,6134235.201982378,175.0,290.0
34,34,T34,232902.3635851019,6127855.201982378,175.0,290.0
35,35,T35,231452.3635851019,6129595.201982378,175.0,290.0
36,36,T36,232612.3635851019,6136845.201982378,175.0,290.0
37,37,T37,229712.3635851019,6140615.201982378,175.0,290.0
38,38,T38,231162.3635851019,6130755.201982378,175.0,290.0
39,39,T39,233482.3635851019,6135685.201982378,175.0,290.0
40,40,T40,232612.3635851019,6126405.201982378,175.0,290.0
41,41,T41,229712.3635851019,6131625.201982378,175.0,290.0
42,42,T42,230292.3635851019,6133945.201982378,175.0,290.0
43,43,T43,228842.3635851019,6132495.201982378,175.0,290.0
44,44,T44,230002.3635851019,6125825.201982378,175.0,290.0
