index,id,name,x,y,h,D
0,0,T0,155410.38502879214,6203195.5540700825,150.0,290.0
1,1,T1,152075.38502879214,6200585.5540700825,150.0,290.0
2,2,T2,154830.38502879214,6199135.5540700825,150.0,290.0
3,3,T3,153815.38502879214,6195655.5540700825,150.0,290.0
4,4,T4,153960.38502879214,6205660.5540700825,150.0,290.0
5,5,T5,149175.38502879214,6210010.5540700825,150.0,290.0
6,6,T6,159035.38502879214,6206240.5540700825,150.0,290.0
7,7,T7,157150.38502879214,6196380.5540700825,150.0,290.0
8,8,T8,154830.38502879214,6194785.5540700825,150.0,290.0
9,9,T9,151640.38502879214,6206240.5540700825,150.0,290.0
10,10,T10,156715.38502879214,6205515.5540700825,150.0,290.0
11,11,T11,155265.38502879214,6192465.5540700825,150.0,290.0
12,12,T12,150480.38502879214,6191595.5540700825,150.0,290.0
13,13,T13,150190.38502879214,6205515.5540700825,150.0,290.0
14,14,T14,150335.38502879214,6207110.5540700825,150.0,290.0
15,15,T15,150625.38502879214,6200150.5540700825,150.0,290.0
16,16,T16,162225.38502879214,6205225.5540700825,150.0,290.0
17,17,T17,158745.38502879214,6196815.5540700825,150.0,290.0
18,18,T18,150625.38502879214,6203050.5540700825,150.0,290.0
19,19,T19,158020.38502879214,6201600.5540700825,150.0,290.0
20,20,T20,150335.38502879214,6196960.5540700825,150.0,290.0
21,21,T21,159325.38502879214,6198265.5540700825,150.0,290.0
22,22,T22,151785.38502879214,6199135.5540700825,150.0,290.0
23,23,T23,154105.38502879214,6202615.5540700825,150.0,290.0
24,24,T24,158020.38502879214,6198990.5540700825,150.0,290.0
25,25,T25,152220.38502879214,6194640.5540700825,150.0,290.0
26,26,T26,156280.38502879214,6207400.5540700825,150.0,290.0
27,27,T27,154395.38502879214,6197830.5540700825,150.0,290.0
28,28,T28,151640.38502879214,6207980.5540700825,150.0,290.0
29,29,T29,155120.38502879214,6196235.5540700825,150.0,290.0
30,30,T30,156280.38502879214,6195220.5540700825,150.0,290.0
31,31,T31,153525.38502879214,6200005.5540700825,150.0,290.0
32,32,T32,155845.38502879214,6193770.5540700825,150.0,290.0
33,33,T33,153815.38502879214,6191595.5540700825,150.0,290.0
34,34,T34,160050.38502879214,6199570.5540700825,150.0,290.0
35,35,T35,158745.38502879214,6200295.5540700825,150.0,290.0
36,36,T36,152075.38502879214,6192175.5540700825,150.0,290.0
37,37,T37,155265.38502879214,6204790.5540700825,150.0,290.0
38,38,T38,154540.38502879214,6207690.5540700825,150.0,290.0
39,39,T39,155700.38502879214,6197540.5540700825,150.0,290.0
40,40,T40,157585.38502879214,6206675.5540700825,150.0,290.0
41,41,T41,156280.38502879214,6198990.5540700825,150.0,290.0
42,42,T42,151205.38502879214,6204355.5540700825,150.0,290.0
43,43,T43,153090.38502879214,6198410.5540700825,150.0,290.0
44,44,T44,149465.38502879214,6208415.5540700825,150.0,290.0
45,45,T45,160920.38502879214,6204355.5540700825,150.0,290.0
46,46,T46,149900.38502879214,6194640.5540700825,150.0,290.0
47,47,T47,150915.38502879214,6201600.5540700825,150.0,290.0
48,48,T48,157150.38502879214,6197830.5540700825,150.0,290.0
49,49,T49,153090.38502879214,6190435.5540700825,150.0,290.0
50,50,T50,153380.38502879214,6196960.5540700825,150.0,290.0
51,51,T51,153090.38502879214,6206965.5540700825,150.0,290.0
