index,id,name,x,y,h,D
0,0,T0,302351.6278559154,6015452.076589971,150.0,240.0
1,1,T1,301151.6278559154,6017852.076589971,150.0,240.0
2,2,T2,304271.6278559154,6020252.076589971,150.0,240.0
3,3,T3,297311.6278559154,6017372.076589971,150.0,240.0
4,4,T4,299951.6278559154,6018092.076589971,150.0,240.0
5,5,T5,300671.6278559154,6016892.076589971,150.0,240.0
6,6,T6,297071.6278559154,6014972.076589971,150.0,240.0
7,7,T7,302111.6278559154,6018812.076589971,150.0,240.0
8,8,T8,299471.6278559154,6014972.076589971,150.0,240.0
9,9,T9,303311.6278559154,6018092.076589971,150.0,240.0
10,10,T10,304751.6278559154,6015452.076589971,150.0,240.0
11,11,T11,300191.6278559154,6015932.076589971,150.0,240.0
12,12,T12,305231.6278559154,6016652.076589971,150.0,240.0
13,13,T13,305231.6278559154,6019532.076589971,150.0,240.0
14,14,T14,298751.6278559154,6015932.076589971,150.0,240.0
15,15,T15,296111.6278559154,6017372.076589971,150.0,240.0
16,16,T16,296111.6278559154,6015692.076589971,150.0,240.0
17,17,T17,306191.6278559154,6020252.076589971,150.0,240.0
18,18,T18,306191.6278559154,6017372.076589971,150.0,240.0
19,19,T19,306191.6278559154,6018812.076589971,150.0,240.0
20,20,T20,297791.6278559154,6016172.076589971,150.0,240.0
21,21,T21,293951.6278559154,6017612.076589971,150.0,240.0
22,22,T22,303311.6278559154,6019532.076589971,150.0,240.0
23,23,T23,301151.6278559154,6020012.076589971,150.0,240.0
24,24,T24,299951.6278559154,6019532.076589971,150.0,240.0
25,25,T25,301631.6278559154,6016412.076589971,150.0,240.0
26,26,T26,298511.6278559154,6017372.076589971,150.0,240.0
27,27,T27,298271.6278559154,6014972.076589971,150.0,240.0
28,28,T28,299471.6278559154,6016652.076589971,150.0,240.0
29,29,T29,302111.6278559154,6017612.076589971,150.0,240.0
30,30,T30,301151.6278559154,6015212.076589971,150.0,240.0
31,31,T31,305231.6278559154,6018092.076589971,150.0,240.0
32,32,T32,306191.6278559154,6015932.076589971,150.0,240.0
33,33,T33,294911.6278559154,6017372.076589971,150.0,240.0
34,34,T34,295391.6278559154,6016412.076589971,150.0,240.0
35,35,T35,296831.6278559154,6016412.076589971,150.0,240.0
36,36,T36,304031.6278559154,6016652.076589971,150.0,240.0
37,37,T37,302831.6278559154,6016652.076589971,150.0,240.0
38,38,T38,302351.6278559154,6020012.076589971,150.0,240.0
39,39,T39,300911.6278559154,6018812.076589971,150.0,240.0
40,40,T40,303551.6278559154,6015452.076589971,150.0,240.0
41,41,T41,304271.6278559154,6018812.076589971,150.0,240.0
