index,id,name,x,y,h,D
0,0,T0,674402.407200103,5970252.285322968,150.0,290.0
1,1,T1,687162.407200103,5966772.285322968,150.0,290.0
2,2,T2,667732.407200103,5960682.285322968,150.0,290.0
3,3,T3,657872.407200103,5958362.285322968,150.0,290.0
4,4,T4,672372.407200103,5976922.285322968,150.0,290.0
5,5,T5,663092.407200103,5971992.285322968,150.0,290.0
6,6,T6,692962.407200103,5976922.285322968,150.0,290.0
7,7,T7,694412.407200103,5968222.285322968,150.0,290.0
8,8,T8,670632.407200103,5979242.285322968,150.0,290.0
9,9,T9,654392.407200103,5983592.285322968,150.0,290.0
10,10,T10,650042.407200103,5962132.285322968,150.0,290.0
11,11,T11,677012.407200103,5974312.285322968,150.0,290.0
12,12,T12,690642.407200103,5974312.285322968,150.0,290.0
13,13,T13,679622.407200103,5982722.285322968,150.0,290.0
14,14,T14,677592.407200103,5979242.285322968,150.0,290.0
15,15,T15,686872.407200103,5971412.285322968,150.0,290.0
16,16,T16,654102.407200103,5958362.285322968,150.0,290.0
17,17,T17,679332.407200103,5961262.285322968,150.0,290.0
18,18,T18,663962.407200103,5963872.285322968,150.0,290.0
19,19,T19,689482.407200103,5969382.285322968,150.0,290.0
20,20,T20,655842.407200103,5975182.285322968,150.0,290.0
21,21,T21,652652.407200103,5981852.285322968,150.0,290.0
22,22,T22,691222.407200103,5969382.285322968,150.0,290.0
23,23,T23,656712.407200103,5978082.285322968,150.0,290.0
24,24,T24,697312.407200103,5978372.285322968,150.0,290.0
25,25,T25,661062.407200103,5971702.285322968,150.0,290.0
26,26,T26,674982.407200103,5966482.285322968,150.0,290.0
27,27,T27,652362.407200103,5965902.285322968,150.0,290.0
28,28,T28,670342.407200103,5967062.285322968,150.0,290.0
29,29,T29,668312.407200103,5982142.285322968,150.0,290.0
30,30,T30,686582.407200103,5982722.285322968,150.0,290.0
31,31,T31,650912.407200103,5975182.285322968,150.0,290.0
32,32,T32,651492.407200103,5967642.285322968,150.0,290.0
33,33,T33,659032.407200103,5974312.285322968,150.0,290.0
34,34,T34,682522.407200103,5962422.285322968,150.0,290.0
35,35,T35,687162.407200103,5984752.285322968,150.0,290.0
36,36,T36,692962.407200103,5966772.285322968,150.0,290.0
37,37,T37,691512.407200103,5978082.285322968,150.0,290.0
38,38,T38,681942.407200103,5976922.285322968,150.0,290.0
39,39,T39,652362.407200103,5957782.285322968,150.0,290.0
40,40,T40,671792.407200103,5974022.285322968,150.0,290.0
41,41,T41,694702.407200103,5983302.285322968,150.0,290.0
42,42,T42,654102.407200103,5975762.285322968,150.0,290.0
43,43,T43,665702.407200103,5973442.285322968,150.0,290.0
44,44,T44,677302.407200103,5984172.285322968,150.0,290.0
45,45,T45,671212.407200103,5980982.285322968,150.0,290.0
46,46,T46,652652.407200103,5983592.285322968,150.0,290.0
47,47,T47,650042.407200103,5955462.285322968,150.0,290.0
48,48,T48,657872.407200103,5970832.285322968,150.0,290.0
49,49,T49,690352.407200103,5970832.285322968,150.0,290.0
50,50,T50,680782.407200103,5962132.285322968,150.0,290.0
51,51,T51,678462.407200103,5965612.285322968,150.0,290.0
52,52,T52,663672.407200103,5970252.285322968,150.0,290.0
53,53,T53,666282.407200103,5963292.285322968,150.0,290.0
54,54,T54,664252.407200103,5956332.285322968,150.0,290.0
55,55,T55,659032.407200103,5966772.285322968,150.0,290.0
56,56,T56,672372.407200103,5964742.285322968,150.0,290.0
57,57,T57,663382.407200103,5979822.285322968,150.0,290.0
58,58,T58,697602.407200103,5980112.285322968,150.0,290.0
59,59,T59,662512.407200103,5978372.285322968,150.0,290.0
60,60,T60,669182.407200103,5978372.285322968,150.0,290.0
61,61,T61,668892.407200103,5961552.285322968,150.0,290.0
62,62,T62,679622.407200103,5967062.285322968,150.0,290.0
63,63,T63,653232.407200103,5970832.285322968,150.0,290.0
64,64,T64,670922.407200103,5964162.285322968,150.0,290.0
65,65,T65,655262.407200103,5978372.285322968,150.0,290.0
66,66,T66,659612.407200103,5955172.285322968,150.0,290.0
67,67,T67,676142.407200103,5960972.285322968,150.0,290.0
68,68,T68,649752.407200103,5957202.285322968,150.0,290.0
69,69,T69,691512.407200103,5967352.285322968,150.0,290.0
70,70,T70,665702.407200103,5964742.285322968,150.0,290.0
71,71,T71,698472.407200103,5971992.285322968,150.0,290.0
72,72,T72,660772.407200103,5969962.285322968,150.0,290.0
73,73,T73,685712.407200103,5972862.285322968,150.0,290.0
74,74,T74,653232.407200103,5980112.285322968,150.0,290.0
75,75,T75,655552.407200103,5956332.285322968,150.0,290.0
76,76,T76,680782.407200103,5984172.285322968,150.0,290.0
77,77,T77,657292.407200103,5976342.285322968,150.0,290.0
78,78,T78,663092.407200103,5954882.285322968,150.0,290.0
79,79,T79,669472.407200103,5960102.285322968,150.0,290.0
80,80,T80,663962.407200103,5968802.285322968,150.0,290.0
81,81,T81,657582.407200103,5953142.285322968,150.0,290.0
82,82,T82,691222.407200103,5976052.285322968,150.0,290.0
83,83,T83,659902.407200103,5965612.285322968,150.0,290.0
84,84,T84,651202.407200103,5971412.285322968,150.0,290.0
85,85,T85,683102.407200103,5974022.285322968,150.0,290.0
86,86,T86,664832.407200103,5975182.285322968,150.0,290.0
87,87,T87,654972.407200103,5979822.285322968,150.0,290.0
88,88,T88,652362.407200103,5953142.285322968,150.0,290.0
89,89,T89,666572.407200103,5970252.285322968,150.0,290.0
90,90,T90,674112.407200103,5982722.285322968,150.0,290.0
91,91,T91,684262.407200103,5984752.285322968,150.0,290.0
92,92,T92,675562.407200103,5984462.285322968,150.0,290.0
93,93,T93,685132.407200103,5980692.285322968,150.0,290.0
94,94,T94,649752.407200103,5978662.285322968,150.0,290.0
95,95,T95,669762.407200103,5971992.285322968,150.0,290.0
96,96,T96,668022.407200103,5973442.285322968,150.0,290.0
97,97,T97,656132.407200103,5966772.285322968,150.0,290.0
98,98,T98,673532.407200103,5967352.285322968,150.0,290.0
99,99,T99,678462.407200103,5973442.285322968,150.0,290.0
100,100,T100,659032.407200103,5969672.285322968,150.0,290.0
101,101,T101,690062.407200103,5965612.285322968,150.0,290.0
102,102,T102,664832.407200103,5959232.285322968,150.0,290.0
103,103,T103,692382.407200103,5985042.285322968,150.0,290.0
104,104,T104,661932.407200103,5972862.285322968,150.0,290.0
105,105,T105,676142.407200103,5967642.285322968,150.0,290.0
106,106,T106,682232.407200103,5967062.285322968,150.0,290.0
107,107,T107,665412.407200103,5957782.285322968,150.0,290.0
108,108,T108,685132.407200103,5971122.285322968,150.0,290.0
